"FIPS","trips_produced","work_trips","nonwork_trips","sov","hov","transit","walk","bike","trips_attracted","balance"
13013,335042,76803,258239,127135,195467,78,10927,1435,335155,-113
13015,432922,122553,310369,181120,235978,47,13866,1911,432859,63
13045,452031,128371,323660,189328,243555,1188,15839,2121,452017,14
13057,1129131,263527,865604,444967,653247,751,26442,3724,1129284,-153
13063,1175506,362536,812970,460435,624927,28575,55817,5752,1175594,-88
13067,3643345,1096105,2547240,1570331,1930936,14679,111994,15405,3643094,251
13077,591631,149410,442221,243126,329297,414,16518,2276,591736,-105
13085,107700,26548,81152,45977,58214,5,3087,417,107667,33
13089,3405930,1048443,2357487,1419268,1792657,55508,121921,16576,3406085,-155
13097,617469,153116,464353,238625,357007,1366,17977,2494,617576,-107
13113,539160,138912,400248,215255,308913,538,12761,1693,539011,149
13117,1209895,294945,914950,478310,703707,563,23941,3374,1209994,-99
13121,6025149,2341240,3683909,2701250,2775339,194690,324368,29502,6025035,114
13135,4295042,1130109,3164933,1683402,2454266,16971,124189,16214,4294781,261
13139,875618,239906,635712,348406,495576,347,27783,3506,875498,120
13151,981827,230562,751265,378636,572410,1634,25530,3617,981894,-67
13217,418774,101102,317672,163928,240356,375,12391,1724,418877,-103
13223,635278,142037,493241,240842,375769,269,16252,2146,635239,39
13247,427682,108445,319237,166681,246982,668,11935,1416,427736,-54
13255,256691,75299,181392,110245,134054,116,10926,1350,256625,66
13297,355533,85616,269917,137735,206910,85,9370,1433,355599,-66
