ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,2
1,Fulton,DRIVEALONEFREE,611
1,Fulton,DRIVEALONEPAY,31
1,Fulton,KNR_ALLTRN,1
1,Fulton,PNR_PRMTRN,1
1,Fulton,SCHOOL_BUS,37
1,Fulton,SHARED2FREE,290
1,Fulton,SHARED2PAY,2
1,Fulton,SHARED3FREE,210
1,Fulton,SHARED3PAY,7
1,Fulton,TNC,14
1,Fulton,TOTAL,1221
1,Fulton,WALK,15
2,Fulton,BIKE,5
2,Fulton,DRIVEALONEFREE,1505
2,Fulton,DRIVEALONEPAY,108
2,Fulton,PNR_PRMTRN,7
2,Fulton,SCHOOL_BUS,126
2,Fulton,SHARED2FREE,930
2,Fulton,SHARED2PAY,13
2,Fulton,SHARED3FREE,767
2,Fulton,SHARED3PAY,15
2,Fulton,TNC,32
2,Fulton,TOTAL,3558
2,Fulton,WALK,50
3,Fulton,BIKE,36
3,Fulton,DRIVEALONEFREE,5805
3,Fulton,DRIVEALONEPAY,266
3,Fulton,KNR_ALLTRN,3
3,Fulton,PNR_ALLTRN,1
3,Fulton,PNR_PRMTRN,7
3,Fulton,SCHOOL_BUS,720
3,Fulton,SHARED2FREE,3990
3,Fulton,SHARED2PAY,36
3,Fulton,SHARED3FREE,3244
3,Fulton,SHARED3PAY,64
3,Fulton,TNC,162
3,Fulton,TOTAL,14799
3,Fulton,WALK,465
4,Fulton,BIKE,7
4,Fulton,DRIVEALONEFREE,2002
4,Fulton,DRIVEALONEPAY,98
4,Fulton,KNR_ALLTRN,1
4,Fulton,PNR_PRMTRN,4
4,Fulton,SCHOOL_BUS,229
4,Fulton,SHARED2FREE,1243
4,Fulton,SHARED2PAY,8
4,Fulton,SHARED3FREE,990
4,Fulton,SHARED3PAY,14
4,Fulton,TNC,40
4,Fulton,TOTAL,4724
4,Fulton,WALK,88
5,Fulton,BIKE,15
5,Fulton,DRIVEALONEFREE,2130
5,Fulton,DRIVEALONEPAY,130
5,Fulton,PNR_ALLTRN,1
5,Fulton,PNR_PRMTRN,4
5,Fulton,SCHOOL_BUS,181
5,Fulton,SHARED2FREE,1259
5,Fulton,SHARED2PAY,17
5,Fulton,SHARED3FREE,983
5,Fulton,SHARED3PAY,19
5,Fulton,TNC,43
5,Fulton,TOTAL,4943
5,Fulton,WALK,161
6,Fulton,BIKE,2
6,Fulton,DRIVEALONEFREE,653
6,Fulton,DRIVEALONEPAY,21
6,Fulton,SCHOOL_BUS,1
6,Fulton,SHARED2FREE,276
6,Fulton,SHARED2PAY,1
6,Fulton,SHARED3FREE,198
6,Fulton,SHARED3PAY,9
6,Fulton,TNC,11
6,Fulton,TOTAL,1201
6,Fulton,WALK,29
7,Fulton,BIKE,25
7,Fulton,DRIVEALONEFREE,3286
7,Fulton,DRIVEALONEPAY,138
7,Fulton,KNR_ALLTRN,1
7,Fulton,PNR_PRMTRN,1
7,Fulton,SCHOOL_BUS,206
7,Fulton,SHARED2FREE,2079
7,Fulton,SHARED2PAY,15
7,Fulton,SHARED3FREE,1644
7,Fulton,SHARED3PAY,23
7,Fulton,TNC,75
7,Fulton,TOTAL,7741
7,Fulton,WALK,248
8,Fulton,BIKE,6
8,Fulton,DRIVEALONEFREE,1126
8,Fulton,DRIVEALONEPAY,62
8,Fulton,KNR_ALLTRN,2
8,Fulton,PNR_PRMTRN,2
8,Fulton,SCHOOL_BUS,137
8,Fulton,SHARED2FREE,704
8,Fulton,SHARED2PAY,6
8,Fulton,SHARED3FREE,641
8,Fulton,SHARED3PAY,15
8,Fulton,TNC,29
8,Fulton,TOTAL,2773
8,Fulton,WALK,43
9,Fulton,BIKE,5
9,Fulton,DRIVEALONEFREE,675
9,Fulton,DRIVEALONEPAY,41
9,Fulton,PNR_PRMTRN,2
9,Fulton,SCHOOL_BUS,67
9,Fulton,SHARED2FREE,432
9,Fulton,SHARED2PAY,10
9,Fulton,SHARED3FREE,398
9,Fulton,SHARED3PAY,7
9,Fulton,TNC,15
9,Fulton,TOTAL,1687
9,Fulton,WALK,35
10,Fulton,BIKE,16
10,Fulton,DRIVEALONEFREE,1495
10,Fulton,DRIVEALONEPAY,27
10,Fulton,PNR_PRMTRN,1
10,Fulton,SCHOOL_BUS,1527
10,Fulton,SHARED2FREE,1857
10,Fulton,SHARED2PAY,3
10,Fulton,SHARED3FREE,1689
10,Fulton,SHARED3PAY,10
10,Fulton,TNC,69
10,Fulton,TOTAL,6838
10,Fulton,WALK,144
11,Fulton,DRIVEALONEFREE,345
11,Fulton,DRIVEALONEPAY,14
11,Fulton,SCHOOL_BUS,20
11,Fulton,SHARED2FREE,209
11,Fulton,SHARED3FREE,138
11,Fulton,SHARED3PAY,2
11,Fulton,TNC,10
11,Fulton,TOTAL,743
11,Fulton,WALK,5
12,Fulton,DRIVEALONEFREE,162
12,Fulton,DRIVEALONEPAY,4
12,Fulton,SCHOOL_BUS,10
12,Fulton,SHARED2FREE,102
12,Fulton,SHARED3FREE,75
12,Fulton,TNC,2
12,Fulton,TOTAL,359
12,Fulton,WALK,4
13,Fulton,BIKE,21
13,Fulton,DRIVEALONEFREE,2407
13,Fulton,DRIVEALONEPAY,132
13,Fulton,PNR_PRMTRN,1
13,Fulton,SCHOOL_BUS,342
13,Fulton,SHARED2FREE,1608
13,Fulton,SHARED2PAY,27
13,Fulton,SHARED3FREE,1427
13,Fulton,SHARED3PAY,35
13,Fulton,TNC,55
