period,trips
1,10744
2,15684
3,23869
4,42293
5,78088
6,142240
7,245030
8,441938
9,761468
10,870972
11,748873
12,553734
13,479320
14,410110
15,435874
16,421562
17,471709
18,598266
19,647746
20,671915
21,638926
22,570372
23,574325
24,668968
25,651743
26,708179
27,739461
28,718406
29,737913
30,757200
31,722081
32,624749
33,540294
34,443192
35,377739
36,307897
37,233737
38,180638
39,142107
40,99184
41,70468
42,54518
43,34534
44,28273
45,20159
46,15345
47,13567
48,14542
