ZONE,PER,QUANTITY
1,PER01,0
1,PER02,0
1,PER03,3
1,PER04,3
1,PER05,3
1,PER06,2
1,PER07,12
1,PER08,17
1,PER09,25
1,PER10,39
1,PER11,53
1,PER12,60
1,PER13,66
1,PER14,62
1,PER15,59
1,PER16,70
1,PER17,81
1,PER18,105
1,PER19,114
1,PER20,121
1,PER21,105
1,PER22,82
1,PER23,89
1,PER24,93
1,PER25,90
1,PER26,92
1,PER27,99
1,PER28,86
1,PER29,84
1,PER30,86
1,PER31,81
1,PER32,76
1,PER33,81
1,PER34,62
1,PER35,50
1,PER36,44
1,PER37,35
1,PER38,22
1,PER39,14
1,PER40,12
1,PER41,5
1,PER42,4
1,PER43,4
1,PER44,2
1,PER45,1
1,PER46,2
1,PER47,2
1,PER48,0
2,PER01,4
2,PER02,6
2,PER03,13
2,PER04,20
2,PER05,27
2,PER06,29
2,PER07,44
2,PER08,67
2,PER09,96
2,PER10,153
2,PER11,177
2,PER12,168
2,PER13,172
2,PER14,188
2,PER15,180
2,PER16,187
2,PER17,197
2,PER18,217
2,PER19,235
2,PER20,225
2,PER21,222
2,PER22,222
2,PER23,225
2,PER24,235
2,PER25,215
2,PER26,205
2,PER27,213
2,PER28,210
2,PER29,193
2,PER30,177
2,PER31,184
2,PER32,187
2,PER33,168
2,PER34,138
2,PER35,114
2,PER36,93
2,PER37,83
2,PER38,73
2,PER39,56
2,PER40,42
2,PER41,23
2,PER42,9
2,PER43,8
2,PER44,8
2,PER45,6
2,PER46,2
2,PER47,2
2,PER48,1
3,PER01,6
3,PER02,8
3,PER03,18
3,PER04,39
3,PER05,65
3,PER06,121
3,PER07,218
3,PER08,461
3,PER09,868
3,PER10,1388
3,PER11,1615
3,PER12,1709
3,PER13,1788
3,PER14,1887
3,PER15,2025
3,PER16,2052
3,PER17,2062
3,PER18,2113
3,PER19,2159
3,PER20,2150
3,PER21,2158
3,PER22,2111
3,PER23,2153
3,PER24,2134
3,PER25,2027
3,PER26,1920
3,PER27,1835
3,PER28,1627
3,PER29,1490
3,PER30,1436
3,PER31,1350
3,PER32,1274
3,PER33,1216
3,PER34,1102
3,PER35,941
3,PER36,737
3,PER37,542
3,PER38,399
3,PER39,318
3,PER40,211
3,PER41,144
3,PER42,101
3,PER43,56
3,PER44,42
3,PER45,27
3,PER46,35
3,PER47,23
3,PER48,12
4,PER01,1
4,PER02,2
4,PER03,5
4,PER04,11
4,PER05,17
4,PER06,22
4,PER07,33
4,PER08,67
4,PER09,131
4,PER10,197
4,PER11,210
4,PER12,238
4,PER13,241
4,PER14,264
4,PER15,291
4,PER16,306
4,PER17,300
4,PER18,319
4,PER19,347
4,PER20,352
4,PER21,332
4,PER22,299
4,PER23,279
4,PER24,257
4,PER25,250
4,PER26,240
4,PER27,236
4,PER28,233
4,PER29,237
4,PER30,242
4,PER31,256
4,PER32,240
4,PER33,253
4,PER34,235
4,PER35,199
4,PER36,174
4,PER37,119
4,PER38,97
4,PER39,70
4,PER40,57
4,PER41,36
4,PER42,22
4,PER43,10
4,PER44,8
4,PER45,7
4,PER46,6
4,PER47,7
4,PER48,6
5,PER01,1
5,PER02,3
5,PER03,7
5,PER04,13
5,PER05,17
5,PER06,45
5,PER07,59
5,PER08,83
5,PER09,143
5,PER10,190
5,PER11,238
5,PER12,262
5,PER13,295
5,PER14,337
5,PER15,355
5,PER16,371
5,PER17,385
5,PER18,426
5,PER19,454
5,PER20,467
5,PER21,435
5,PER22,414
5,PER23,392
5,PER24,396
5,PER25,390
5,PER26,377
5,PER27,350
5,PER28,334
5,PER29,365
5,PER30,357
5,PER31,361
5,PER32,326
5,PER33,316
5,PER34,302
5,PER35,280
5,PER36,216
5,PER37,153
5,PER38,121
5,PER39,81
5,PER40,54
5,PER41,26
5,PER42,21
5,PER43,16
5,PER44,16
5,PER45,12
5,PER46,8
5,PER47,12
5,PER48,13
6,PER01,3
6,PER02,3
6,PER03,3
6,PER04,10
6,PER05,13
6,PER06,28
6,PER07,44
6,PER08,65
6,PER09,88
6,PER10,104
6,PER11,138
6,PER12,152
6,PER13,174
6,PER14,187
6,PER15,191
6,PER16,203
6,PER17,229
6,PER18,272
6,PER19,319
6,PER20,316
6,PER21,289
6,PER22,267
6,PER23,245
6,PER24,235
6,PER25,213
6,PER26,214
6,PER27,198
6,PER28,186
6,PER29,184
6,PER30,166
6,PER31,160
6,PER32,173
6,PER33,154
6,PER34,142
6,PER35,113
6,PER36,91
6,PER37,87
6,PER38,73
6,PER39,46
6,PER40,36
6,PER41,23
6,PER42,14
6,PER43,11
6,PER44,8
6,PER45,7
6,PER46,5
6,PER47,3
6,PER48,3
7,PER01,7
7,PER02,15
7,PER03,17
7,PER04,24
7,PER05,43
7,PER06,76
7,PER07,118
7,PER08,175
7,PER09,303
7,PER10,429
7,PER11,500
7,PER12,559
7,PER13,642
7,PER14,685
7,PER15,740
7,PER16,799
7,PER17,834
7,PER18,887
7,PER19,943
7,PER20,944
7,PER21,935
7,PER22,887
7,PER23,882
7,PER24,908
7,PER25,868
7,PER26,879
7,PER27,873
7,PER28,795
7,PER29,786
7,PER30,790
7,PER31,771
7,PER32,815
7,PER33,770
7,PER34,658
7,PER35,601
7,PER36,527
7,PER37,391
7,PER38,284
7,PER39,177
7,PER40,128
7,PER41,90
7,PER42,55
7,PER43,38
7,PER44,30
7,PER45,22
7,PER46,12
7,PER47,8
7,PER48,4
8,PER01,1
8,PER02,1
8,PER03,4
8,PER04,6
8,PER05,5
8,PER06,10
8,PER07,20
8,PER08,36
8,PER09,51
8,PER10,66
8,PER11,75
8,PER12,79
8,PER13,76
8,PER14,79
8,PER15,89
8,PER16,89
8,PER17,91
8,PER18,109
8,PER19,135
8,PER20,146
8,PER21,124
8,PER22,108
