ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,107474,24262,205,96755,170874,106,204229,195136,311,131941,267735,399676
1,2,19878,4464,56,17860,31062,26,37738,35526,82,24398,48948,73346
1,3,7168,1313,138,2614,3986,37,9782,5299,175,8619,6637,15256
1,4,2501,351,140,484,811,12,2985,1162,152,2992,1307,4299
1,5,523,96,107,62,91,2,585,187,109,726,155,881
1,6,1451,228,194,278,394,27,1729,622,221,1873,699,2572
1,7,366,82,117,86,82,11,452,164,128,565,179,744
1,8,793,172,307,147,251,32,940,423,339,1272,430,1702
1,9,343,107,167,57,94,5,400,201,172,617,156,773
1,10,109,27,4,21,34,0,130,61,4,140,55,195
1,11,234,67,55,36,44,4,270,111,59,356,84,440
1,12,92,24,11,18,27,0,110,51,11,127,45,172
1,15,520,99,0,140,211,0,660,310,0,619,351,970
1,16,415,77,0,136,272,0,551,349,0,492,408,900
1,17,6823,1394,1,3761,6295,2,10584,7689,3,8218,10058,18276
1,18,3641,746,1,1975,3320,0,5616,4066,1,4388,5295,9683
1,21,86,26,26,7,20,0,93,46,26,138,27,165
1,22,152,36,29,27,42,3,179,78,32,217,72,289
1,23,95,35,20,19,26,1,114,61,21,150,46,196
1,24,71,28,3,18,22,0,89,50,3,102,40,142
1,31,1667,298,3,456,675,1,2123,973,4,1968,1132,3100
1,32,5206,1096,8,3208,5452,0,8414,6548,8,6310,8660,14970
1,33,302,44,1,46,75,0,348,119,1,347,121,468
1,34,920,199,6,246,400,0,1166,599,6,1125,646,1771
1,35,2055,335,12,408,546,2,2463,881,14,2402,956,3358
1,36,493,84,9,105,156,0,598,240,9,586,261,847
1,41,4545,901,98,1500,2663,10,6045,3564,108,5544,4173,9717
1,43,1088,184,45,300,358,14,1388,542,59,1317,672,1989
1,44,1410,254,21,386,633,2,1796,887,23,1685,1021,2706
1,45,149,27,23,15,34,1,164,61,24,199,50,249
1,46,129,32,13,41,37,5,170,69,18,174,83,257
1,47,313,64,53,67,79,2,380,143,55,430,148,578
1,48,360,82,23,70,93,1,430,175,24,465,164,629
1,49,235,54,17,56,78,0,291,132,17,306,134,440
1,51,68,12,2,14,29,0,82,41,2,82,43,125
1,52,162,24,9,24,28,0,186,52,9,195,52,247
1,61,29,5,0,7,8,0,36,13,0,34,15,49
1,62,40,10,1,6,18,0,46,28,1,51,24,75
1,71,5995,1199,1,2517,4913,1,8512,6112,2,7195,7431,14626
1,72,10401,2463,16,7076,13432,14,17477,15895,30,12880,20522,33402
1,73,875,169,0,159,282,0,1034,451,0,1044,441,1485
1,74,7403,1663,16,4295,8062,3,11698,9725,19,9082,12360,21442
1,75,912,198,0,337,602,2,1249,800,2,1110,941,2051
1,76,751,183,0,189,303,1,940,486,1,934,493,1427
1,81,96,35,1,14,28,0,110,63,1,132,42,174
1,82,46,11,1,4,20,0,50,31,1,58,24,82
1,83,33,8,3,12,34,0,45,42,3,44,46,90
1,91,42,10,2,7,11,0,49,21,2,54,18,72
1,92,111,17,3,21,21,0,132,38,3,131,42,173
1,101,407,78,0,55,68,0,462,146,0,485,123,608
1,102,301,78,0,47,77,0,348,155,0,379,124,503
1,111,51,8,0,8,21,0,59,29,0,59,29,88
1,112,58,22,0,18,44,0,76,66,0,80,62,142
1,113,77,17,0,16,31,0,93,48,0,94,47,141
1,114,269,58,0,52,54,0,321,112,0,327,106,433
1,121,17,3,0,5,3,1,22,6,1,20,9,29
1,122,1,0,0,0,0,0,1,0,0,1,0,1
1,123,4,1,0,2,5,0,6,6,0,5,7,12
1,124,1,0,0,0,0,0,1,0,0,1,0,1
1,131,1,0,0,0,0,0,1,0,0,1,0,1
1,132,18,8,1,3,5,0,21,13,1,27,8,35
1,133,0,0,0,0,1,0,0,1,0,0,1,1
1,134,0,0,0,0,2,0,0,2,0,0,2,2
1,141,3740,687,1,750,889,0,4490,1576,1,4428,1639,6067
1,142,11901,2358,5,5107,8998,1,17008,11356,6,14264,14106,28370
1,143,18091,4094,10,14150,27028,8,32241,31122,18,22195,41186,63381
1,151,297,56,0,68,88,0,365,144,0,353,156,509
1,152,784,147,0,109,143,0,893,290,0,931,252,1183
1,153,838,169,0,198,303,0,1036,472,0,1007,501,1508
1,163,99,15,2,20,20,0,119,35,2,116,40,156
1,164,9,1,0,2,3,0,11,4,0,10,5,15
1,171,169,32,0,35,38,0,204,70,0,201,73,274
1,172,43,4,0,12,9,0,55,13,0,47,21,68
1,173,284,61,0,28,59,0,312,120,0,345,87,432
1,181,6,0,0,1,3,0,7,3,0,6,4,10
1,182,5,1,0,0,2,0,5,3,0,6,2,8
1,191,268,49,0,41,52,0,309,101,0,317,93,410
1,192,175,29,0,24,40,0,199,69,0,204,64,268
1,201,919,176,0,262,348,0,1181,524,0,1095,610,1705
2,1,19972,4587,53,17781,31492,24,37753,36079,77,24612,49297,73909
2,2,33319,7394,54,45130,72158,63,78449,79552,117,40767,117351,158118
2,3,7389,1522,67,5287,8168,33,12676,9690,100,8978,13488,22466
2,4,1807,275,90,570,725,9,2377,1000,99,2172,1304,3476
2,5,318,73,37,66,90,7,384,163,44,428,163,591
2,6,952,170,114,236,354,25,1188,524,139,1236,615,1851
2,7,221,46,37,67,75,15,288,121,52,304,157,461
2,8,591,120,250,145,221,51,736,341,301,961,417,1378
2,9,209,50,49,60,65,11,269,115,60,308,136,444
2,10,74,17,1,13,29,0,87,46,1,92,42,134
2,11,182,38,36,17,39,1,199,77,37,256,57,313
2,12,62,8,6,9,13,1,71,21,7,76,23,99
2,15,205,29,0,80,99,0,285,128,0,234,179,413
2,16,143,30,0,46,84,0,189,114,0,173,130,303
2,17,2498,537,0,1214,2019,0,3712,2556,0,3035,3233,6268
2,18,2461,548,0,1569,2520,0,4030,3068,0,3009,4089,7098
2,21,70,29,23,1,13,1,71,42,24,122,15,137
2,22,120,31,11,17,28,6,137,59,17,162,51,213
2,23,68,18,7,7,23,0,75,41,7,93,30,123
2,24,51,15,6,16,31,0,67,46,6,72,47,119
2,31,1284,261,0,477,694,1,1761,955,1,1545,1172,2717
2,32,5978,1282,3,6363,10745,0,12341,12027,3,7263,17108,24371
2,33,207,42,0,58,109,0,265,151,0,249,167,416
2,34,816,173,5,308,449,1,1124,622,6,994,758,1752
2,35,1749,349,4,558,833,1,2307,1182,5,2102,1392,3494
2,36,330,57,3,86,141,0,416,198,3,390,227,617
2,41,3735,781,46,2478,4013,11,6213,4794,57,4562,6502,11064
2,43,699,110,31,255,336,26,954,446,57,840,617,1457
2,44,990,182,9,461,679,5,1451,861,14,1181,1145,2326
2,45,88,16,5,24,34,0,112,50,5,109,58,167
2,46,89,14,12,16,49,6,105,63,18,115,71,186
2,47,203,36,6,55,58,1,258,94,7,245,114,359
2,48,195,51,2,44,124,0,239,175,2,248,168,416
2,49,149,26,4,36,58,1,185,84,5,179,95,274
2,51,35,9,0,15,36,0,50,45,0,44,51,95
2,52,110,15,1,21,43,1,131,58,2,126,65,191
2,61,10,5,0,4,16,0,14,21,0,15,20,35
2,62,32,11,0,6,11,1,38,22,1,43,18,61
2,71,1013,180,1,336,536,0,1349,716,1,1194,872,2066
2,72,2235,479,3,1182,2159,1,3417,2638,4,2717,3342,6059
2,73,238,37,0,52,95,0,290,132,0,275,147,422
2,74,4451,1108,4,3593,6146,6,8044,7254,10,5563,9745,15308
2,75,403,91,0,244,318,0,647,409,0,494,562,1056
2,76,262,54,1,79,105,0,341,159,1,317,184,501
2,81,59,14,1,15,23,0,74,37,1,74,38,112
2,82,20,7,0,8,13,0,28,20,0,27,21,48
2,83,26,4,0,9,31,0,35,35,0,30,40,70
2,91,34,6,0,6,4,0,40,10,0,40,10,50
2,92,57,12,0,16,37,0,73,49,0,69,53,122
2,101,106,28,0,13,31,0,119,59,0,134,44,178
2,102,72,12,0,18,24,0,90,36,0,84,42,126
2,111,42,3,0,4,10,0,46,13,0,45,14,59
2,112,37,10,0,20,28,0,57,38,0,47,48,95
2,113,57,11,0,15,27,0,72,38,0,68,42,110
2,114,208,33,0,48,55,0,256,88,0,241,103,344
2,121,18,2,0,8,1,0,26,3,0,20,9,29
2,123,8,0,0,3,0,0,11,0,0,8,3,11
2,131,1,0,0,0,0,0,1,0,0,1,0,1
2,132,14,2,0,6,6,0,20,8,0,16,12,28
2,134,3,0,0,1,2,0,4,2,0,3,3,6
2,141,896,170,0,205,239,0,1101,409,0,1066,444,1510
2,142,2534,433,0,873,1146,0,3407,1579,0,2967,2019,4986
2,143,2569,479,2,1326,2436,0,3895,2915,2,3050,3762,6812
2,151,69,10,0,17,23,0,86,33,0,79,40,119
2,152,171,37,0,30,44,0,201,81,0,208,74,282
2,153,188,41,0,44,58,0,232,99,0,229,102,331
2,163,31,13,1,8,19,0,39,32,1,45,27,72
2,164,3,0,0,0,3,0,3,3,0,3,3,6
2,171,132,22,0,31,35,0,163,57,0,154,66,220
