period,trips
1,14182
2,19774
3,29148
4,53037
5,96605
6,167758
7,299215
8,558009
9,990102
10,1117270
11,908714
12,639034
13,554615
14,477186
15,512173
16,495042
17,555238
18,702000
19,759737
20,788846
21,747745
22,666391
23,671435
24,833541
25,798654
26,884787
27,931198
28,890715
29,896795
30,930045
31,912171
32,819071
33,722985
34,605806
35,524598
36,437206
37,328743
38,253684
39,195844
40,133962
41,92783
42,71355
43,46248
44,37844
45,27133
46,21038
47,17524
48,19017
