ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,3
1,Fulton,DRIVEALONEFREE,733
1,Fulton,DRIVEALONEPAY,7
1,Fulton,PNR_ALLTRN,1
1,Fulton,SCHOOL_BUS,34
1,Fulton,SHARED2FREE,405
1,Fulton,SHARED2PAY,1
1,Fulton,SHARED3FREE,300
1,Fulton,SHARED3PAY,1
1,Fulton,TNC,20
1,Fulton,TOTAL,1527
1,Fulton,WALK,22
2,Fulton,BIKE,1
2,Fulton,DRIVEALONEFREE,1418
2,Fulton,DRIVEALONEPAY,22
2,Fulton,PNR_PRMTRN,2
2,Fulton,SCHOOL_BUS,148
2,Fulton,SHARED2FREE,874
2,Fulton,SHARED2PAY,1
2,Fulton,SHARED3FREE,797
2,Fulton,TNC,36
2,Fulton,TOTAL,3355
2,Fulton,WALK,56
3,Fulton,BIKE,38
3,Fulton,DRIVEALONEFREE,5406
3,Fulton,DRIVEALONEPAY,21
3,Fulton,KNR_ALLTRN,1
3,Fulton,PNR_PRMTRN,2
3,Fulton,SCHOOL_BUS,765
3,Fulton,SHARED2FREE,3503
3,Fulton,SHARED2PAY,2
3,Fulton,SHARED3FREE,2789
3,Fulton,SHARED3PAY,2
3,Fulton,TNC,120
3,Fulton,TOTAL,13133
3,Fulton,WALK,484
4,Fulton,BIKE,12
4,Fulton,DRIVEALONEFREE,1957
4,Fulton,DRIVEALONEPAY,2
4,Fulton,PNR_ALLTRN,1
4,Fulton,PNR_PRMTRN,6
4,Fulton,SCHOOL_BUS,204
4,Fulton,SHARED2FREE,1183
4,Fulton,SHARED3FREE,1008
4,Fulton,TNC,58
4,Fulton,TOTAL,4534
4,Fulton,WALK,103
5,Fulton,BIKE,11
5,Fulton,DRIVEALONEFREE,1942
5,Fulton,PNR_ALLTRN,2
5,Fulton,PNR_PRMTRN,4
5,Fulton,SCHOOL_BUS,183
5,Fulton,SHARED2FREE,1061
5,Fulton,SHARED3FREE,849
5,Fulton,TNC,47
5,Fulton,TOTAL,4238
5,Fulton,WALK,139
6,Fulton,BIKE,2
6,Fulton,DRIVEALONEFREE,474
6,Fulton,DRIVEALONEPAY,1
6,Fulton,SCHOOL_BUS,1
6,Fulton,SHARED2FREE,195
6,Fulton,SHARED3FREE,193
6,Fulton,TNC,5
6,Fulton,TOTAL,897
6,Fulton,WALK,26
7,Fulton,BIKE,23
7,Fulton,DRIVEALONEFREE,2875
7,Fulton,DRIVEALONEPAY,1
7,Fulton,PNR_PRMTRN,3
7,Fulton,SCHOOL_BUS,205
7,Fulton,SHARED2FREE,1951
7,Fulton,SHARED3FREE,1602
7,Fulton,TNC,57
7,Fulton,TOTAL,6928
7,Fulton,WALK,211
8,Fulton,BIKE,8
8,Fulton,DRIVEALONEFREE,1045
8,Fulton,PNR_PRMTRN,4
8,Fulton,SCHOOL_BUS,152
8,Fulton,SHARED2FREE,736
8,Fulton,SHARED3FREE,607
8,Fulton,TNC,29
8,Fulton,TOTAL,2616
8,Fulton,WALK,35
9,Fulton,BIKE,2
9,Fulton,DRIVEALONEFREE,556
9,Fulton,KNR_ALLTRN,1
9,Fulton,SCHOOL_BUS,72
9,Fulton,SHARED2FREE,377
9,Fulton,SHARED3FREE,330
9,Fulton,TNC,13
9,Fulton,TOTAL,1366
9,Fulton,WALK,15
10,Fulton,BIKE,12
10,Fulton,DRIVEALONEFREE,1501
10,Fulton,SCHOOL_BUS,1495
10,Fulton,SHARED2FREE,1881
10,Fulton,SHARED3FREE,1764
10,Fulton,TNC,57
10,Fulton,TOTAL,6869
10,Fulton,WALK,159
11,Fulton,BIKE,1
11,Fulton,DRIVEALONEFREE,291
11,Fulton,SCHOOL_BUS,27
