AXIS,CHART,QUANTITY
Accessible Employment,AEROTROPOLIS,550278
Jobs Housing Balance,AEROTROPOLIS,0.026334519572953737
Transit Mode Share,AEROTROPOLIS,0.02894356005788712
Zero Car Transit Trips Per HH,AEROTROPOLIS,0.24324324324324326
Accessible Employment,BUCKHEAD,871443
Accessible Employment,CITY CENTER,987965
Accessible Employment,CUMBERLAND,886925
Accessible Employment,DORAVILLE ASSEMBLY,605749
Accessible Employment,EMORY,780062
Accessible Employment,FT MCPHERSON,515868
Accessible Employment,FULTON INDUSTRIAL,602895
Accessible Employment,GWINNETT,393900
Accessible Employment,HARTSFIELD,315058
Accessible Employment,LOCKHEED/DOBBINS,444764
Accessible Employment,MIDTOWN,991949
Accessible Employment,NEWNAN,78558
Accessible Employment,NORTH POINT,345636
Accessible Employment,PEACHTREE CORNERS,585190
Accessible Employment,PERIMETER,796146
Accessible Employment,STOCKBRIDGE,220583
Accessible Employment,STONECREST,140091
Accessible Employment,TOWN CENTER,340367
Accessible Employment,TRIBUTARY,157469
Accessible Employment,WINDWARD,355153
Jobs Housing Balance,WINDWARD,0.4634603372891943
Transit Mode Share,WINDWARD,0.0027354435326299334
Zero Car Transit Trips Per HH,WINDWARD,0.008086253369272238
