ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,49,80,9,0,128,128,0,208,137,0,89,256,345
1,50,72,16,0,216,303,0,288,319,0,88,519,607
1,51,14,5,0,56,54,0,70,59,0,19,110,129
1,52,40,13,0,137,175,0,177,188,0,53,312,365
1,53,6,3,0,17,18,0,23,21,0,9,35,44
1,54,7,4,0,6,19,0,13,23,0,11,25,36
1,55,7,2,0,4,13,0,11,15,0,9,17,26
1,56,4,1,0,1,3,0,5,4,0,5,4,9
1,57,1,0,0,0,3,0,1,3,0,1,3,4
2,49,147,25,0,275,480,0,422,505,0,172,755,927
2,50,181,36,0,386,556,0,567,592,0,217,942,1159
2,51,43,9,1,84,167,0,127,176,1,53,251,304
2,52,57,14,0,163,183,0,220,197,0,71,346,417
2,53,17,6,0,25,43,0,42,49,0,23,68,91
2,54,15,2,0,10,14,1,25,16,1,17,25,42
2,55,13,6,0,17,30,0,30,36,0,19,47,66
2,56,10,1,0,4,14,0,14,15,0,11,18,29
2,57,6,1,0,0,6,0,6,7,0,7,6,13
3,49,322,70,0,1007,1652,0,1329,1722,0,392,2659,3051
3,50,321,65,0,925,1556,2,1246,1621,2,386,2483,2869
3,51,154,40,1,1043,1841,0,1197,1881,1,195,2884,3079
3,52,150,39,0,837,1128,0,987,1167,0,189,1965,2154
3,53,52,11,0,122,205,0,174,216,0,63,327,390
3,54,37,7,1,52,62,1,89,69,2,45,115,160
3,55,32,8,1,57,109,0,89,117,1,41,166,207
3,56,28,8,0,36,49,0,64,57,0,36,85,121
3,57,10,1,0,17,27,0,27,28,0,11,44,55
4,49,201,37,0,648,1078,0,849,1115,0,238,1726,1964
4,50,144,24,1,236,356,1,380,380,2,169,593,762
4,51,25,5,1,94,155,0,119,160,1,31,249,280
4,52,52,26,0,210,304,1,262,330,1,78,515,593
4,53,40,9,1,111,164,0,151,173,1,50,275,325
4,54,32,7,0,31,36,0,63,43,0,39,67,106
4,55,20,5,2,56,67,0,76,72,2,27,123,150
4,56,21,3,0,21,30,0,42,33,0,24,51,75
4,57,5,1,0,7,14,0,12,15,0,6,21,27
5,49,218,54,0,555,896,0,773,950,0,272,1451,1723
5,50,141,24,0,150,292,0,291,316,0,165,442,607
5,51,26,5,1,44,74,1,70,79,2,32,119,151
5,52,69,13,0,219,274,0,288,287,0,82,493,575
5,53,65,19,0,176,266,0,241,285,0,84,442,526
5,54,36,14,2,44,46,0,80,60,2,52,90,142
5,55,32,9,0,90,105,0,122,114,0,41,195,236
5,56,27,4,0,19,47,0,46,51,0,31,66,97
5,57,10,2,0,20,15,0,30,17,0,12,35,47
6,49,62,19,0,111,130,0,173,149,0,81,241,322
6,50,24,5,0,42,39,0,66,44,0,29,81,110
6,51,3,0,0,16,9,0,19,9,0,3,25,28
6,52,25,8,0,82,61,0,107,69,0,33,143,176
6,53,20,10,0,43,27,0,63,37,0,30,70,100
6,54,16,5,0,10,8,0,26,13,0,21,18,39
6,55,14,5,0,20,22,0,34,27,0,19,42,61
6,56,7,1,0,3,9,0,10,10,0,8,12,20
6,57,1,1,0,2,2,0,3,3,0,2,4,6
7,49,267,66,1,757,1258,0,1024,1324,1,334,2015,2349
7,50,126,24,0,283,374,0,409,398,0,150,657,807
7,51,21,5,0,75,107,0,96,112,0,26,182,208
7,52,91,18,0,400,471,0,491,489,0,109,871,980
7,53,80,13,0,326,408,0,406,421,0,93,734,827
7,54,65,7,1,79,93,1,144,100,2,73,173,246
7,55,71,18,0,302,340,0,373,358,0,89,642,731
7,56,35,9,1,65,101,0,100,110,1,45,166,211
7,57,8,4,0,35,56,0,43,60,0,12,91,103
8,49,132,25,1,207,473,0,339,498,1,158,680,838
8,50,79,14,0,66,109,0,145,123,0,93,175,268
8,51,13,1,2,20,22,0,33,23,2,16,42,58
8,52,42,9,0,106,171,1,148,180,1,51,278,329
8,53,51,10,0,172,304,0,223,314,0,61,476,537
8,54,28,10,1,39,74,2,67,84,3,39,115,154
8,55,32,5,0,71,127,0,103,132,0,37,198,235
8,56,22,10,0,42,65,0,64,75,0,32,107,139
8,57,5,2,0,11,24,0,16,26,0,7,35,42
