TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,9806323
AUTO,DRIVEALONE,DRIVEALONEPAY,137416
AUTO,SHARED2,SHARED2FREE,4780891
AUTO,SHARED2,SHARED2PAY,9807
AUTO,SHARED3,SHARED3FREE,3458828
AUTO,SHARED3,SHARED3PAY,6897
NONMOTORIZED,NONMOTORIZED,BIKE,105500
NONMOTORIZED,NONMOTORIZED,WALK,869246
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,901963
TRANSIT,KNR,KNR_ALLTRN,12214
TRANSIT,KNR,KNR_PRMTRN,13973
TRANSIT,PNR,PNR_ALLTRN,5554
TRANSIT,PNR,PNR_PRMTRN,39800
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,149932
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,37865
