ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,70905,16965,127,146014,178417,215,216919,195382,342,87997,324646,412643
1,2,10924,2788,23,28645,32752,83,39569,35540,106,13735,61480,75215
1,3,4045,799,83,5195,4099,171,9240,4898,254,4927,9465,14392
1,4,1306,235,102,1615,833,134,2921,1068,236,1643,2582,4225
1,5,225,49,8,367,148,134,592,197,142,282,649,931
1,6,811,175,101,1087,473,199,1898,648,300,1087,1759,2846
1,7,113,38,10,296,149,113,409,187,123,161,558,719
1,8,574,127,218,360,272,205,934,399,423,919,837,1756
1,9,142,42,7,273,153,173,415,195,180,191,599,790
1,10,46,7,1,76,37,3,122,44,4,54,116,170
1,11,134,27,5,132,77,54,266,104,59,166,263,429
1,12,22,9,2,79,49,10,101,58,12,33,138,171
1,15,20,11,0,646,320,0,666,331,0,31,966,997
1,16,27,14,0,577,390,0,604,404,0,41,967,1008
1,17,1193,350,0,10287,9396,6,11480,9746,6,1543,19689,21232
1,18,878,240,0,5149,3971,4,6027,4211,4,1118,9124,10242
1,21,58,15,11,24,34,6,82,49,17,84,64,148
1,22,64,16,2,89,70,16,153,86,18,82,175,257
1,23,25,4,1,90,56,21,115,60,22,30,167,197
1,24,27,9,0,89,38,4,116,47,4,36,131,167
1,31,639,117,0,1556,972,1,2195,1089,1,756,2529,3285
1,32,1922,453,0,7196,6246,5,9118,6699,5,2375,13447,15822
1,33,64,7,0,315,112,2,379,119,2,71,429,500
1,34,535,109,1,621,482,3,1156,591,4,645,1106,1751
1,35,1177,208,7,1066,704,12,2243,912,19,1392,1782,3174
1,36,162,38,0,355,215,8,517,253,8,200,578,778
1,41,2472,501,45,3381,2720,109,5853,3221,154,3018,6210,9228
1,43,619,103,14,694,450,30,1313,553,44,736,1174,1910
1,44,705,140,3,987,762,47,1692,902,50,848,1796,2644
1,45,48,9,4,143,67,38,191,76,42,61,248,309
1,46,64,12,4,122,34,20,186,46,24,80,176,256
1,47,92,25,4,312,120,56,404,145,60,121,488,609
1,48,69,14,1,308,144,22,377,158,23,84,474,558
1,49,73,17,0,235,96,17,308,113,17,90,348,438
1,51,17,3,0,47,20,2,64,23,2,20,69,89
1,52,52,17,0,111,47,3,163,64,3,69,161,230
1,61,7,3,0,19,15,1,26,18,1,10,35,45
1,62,7,3,0,31,25,1,38,28,1,10,57,67
