ZONE,COUNTY,TRIP MODE,QUANTITY
1,FULTON,BIKE,3
1,FULTON,DRIVEALONEFREE,680
1,FULTON,DRIVEALONEPAY,44
1,FULTON,PNR_ALLTRN,1
1,FULTON,PNR_PRMTRN,3
1,FULTON,SCHOOL_BUS,26
1,FULTON,SHARED2FREE,338
1,FULTON,SHARED2PAY,3
1,FULTON,SHARED3FREE,229
1,FULTON,SHARED3PAY,3
1,FULTON,TNC,12
1,FULTON,TOTAL,1356
1,FULTON,WALK,14
2,FULTON,BIKE,9
2,FULTON,DRIVEALONEFREE,1518
2,FULTON,DRIVEALONEPAY,108
2,FULTON,PNR_ALLTRN,1
2,FULTON,PNR_PRMTRN,3
2,FULTON,SCHOOL_BUS,149
2,FULTON,SHARED2FREE,863
2,FULTON,SHARED2PAY,5
2,FULTON,SHARED3FREE,687
2,FULTON,SHARED3PAY,14
2,FULTON,TNC,17
2,FULTON,TOTAL,3424
2,FULTON,WALK,50
3,FULTON,BIKE,44
3,FULTON,DRIVEALONEFREE,5912
3,FULTON,DRIVEALONEPAY,220
3,FULTON,PNR_PRMTRN,8
3,FULTON,SCHOOL_BUS,731
3,FULTON,SHARED2FREE,4052
3,FULTON,SHARED2PAY,36
3,FULTON,SHARED3FREE,3086
3,FULTON,SHARED3PAY,51
3,FULTON,TNC,152
3,FULTON,TOTAL,14687
3,FULTON,WALK,395
4,FULTON,BIKE,18
4,FULTON,DRIVEALONEFREE,2065
4,FULTON,DRIVEALONEPAY,90
4,FULTON,KNR_ALLTRN,2
4,FULTON,PNR_PRMTRN,6
4,FULTON,SCHOOL_BUS,235
4,FULTON,SHARED2FREE,1211
4,FULTON,SHARED2PAY,16
4,FULTON,SHARED3FREE,989
4,FULTON,SHARED3PAY,22
4,FULTON,TNC,46
4,FULTON,TOTAL,4786
4,FULTON,WALK,86
5,FULTON,BIKE,10
5,FULTON,DRIVEALONEFREE,2139
5,FULTON,DRIVEALONEPAY,124
5,FULTON,PNR_ALLTRN,1
5,FULTON,PNR_PRMTRN,3
5,FULTON,SCHOOL_BUS,178
5,FULTON,SHARED2FREE,1243
5,FULTON,SHARED2PAY,14
5,FULTON,SHARED3FREE,954
5,FULTON,SHARED3PAY,34
5,FULTON,TNC,54
5,FULTON,TOTAL,4919
5,FULTON,WALK,165
6,FULTON,BIKE,4
6,FULTON,DRIVEALONEFREE,687
6,FULTON,DRIVEALONEPAY,20
6,FULTON,KNR_ALLTRN,1
6,FULTON,KNR_PRMTRN,1
6,FULTON,SCHOOL_BUS,2
6,FULTON,SHARED2FREE,283
6,FULTON,SHARED2PAY,2
6,FULTON,SHARED3FREE,168
6,FULTON,TNC,8
6,FULTON,TOTAL,1214
6,FULTON,WALK,38
7,FULTON,BIKE,22
7,FULTON,DRIVEALONEFREE,3415
7,FULTON,DRIVEALONEPAY,146
7,FULTON,PNR_ALLTRN,1
7,FULTON,PNR_PRMTRN,2
7,FULTON,SCHOOL_BUS,193
7,FULTON,SHARED2FREE,2141
7,FULTON,SHARED2PAY,11
7,FULTON,SHARED3FREE,1468
7,FULTON,SHARED3PAY,5
7,FULTON,TNC,82
7,FULTON,TOTAL,7741
7,FULTON,WALK,255
8,FULTON,BIKE,13
8,FULTON,DRIVEALONEFREE,1135
8,FULTON,DRIVEALONEPAY,54
8,FULTON,PNR_PRMTRN,2
8,FULTON,SCHOOL_BUS,130
8,FULTON,SHARED2FREE,750
8,FULTON,SHARED2PAY,6
8,FULTON,SHARED3FREE,578
8,FULTON,SHARED3PAY,17
8,FULTON,TNC,28
8,FULTON,TOTAL,2741
8,FULTON,WALK,28
9,FULTON,BIKE,2
9,FULTON,DRIVEALONEFREE,696
9,FULTON,DRIVEALONEPAY,51
9,FULTON,PNR_ALLTRN,1
9,FULTON,SCHOOL_BUS,62
9,FULTON,SHARED2FREE,402
9,FULTON,SHARED2PAY,2
9,FULTON,SHARED3FREE,358
9,FULTON,SHARED3PAY,7
9,FULTON,TNC,20
9,FULTON,TOTAL,1643
9,FULTON,WALK,42
10,FULTON,BIKE,8
10,FULTON,DRIVEALONEFREE,1502
10,FULTON,DRIVEALONEPAY,26
10,FULTON,SCHOOL_BUS,1559
10,FULTON,SHARED2FREE,1949
10,FULTON,SHARED2PAY,2
10,FULTON,SHARED3FREE,1795
10,FULTON,SHARED3PAY,2
10,FULTON,TNC,42
10,FULTON,TOTAL,7009
10,FULTON,WALK,124
11,FULTON,BIKE,2
11,FULTON,DRIVEALONEFREE,359
11,FULTON,DRIVEALONEPAY,19
11,FULTON,PNR_PRMTRN,2
11,FULTON,SCHOOL_BUS,16
11,FULTON,SHARED2FREE,196
11,FULTON,SHARED2PAY,3
11,FULTON,SHARED3FREE,153
11,FULTON,SHARED3PAY,7
11,FULTON,TNC,3
11,FULTON,TOTAL,763
11,FULTON,WALK,3
12,FULTON,BIKE,2
12,FULTON,DRIVEALONEFREE,170
12,FULTON,DRIVEALONEPAY,5
12,FULTON,SCHOOL_BUS,9
12,FULTON,SHARED2FREE,98
12,FULTON,SHARED2PAY,1
12,FULTON,SHARED3FREE,91
12,FULTON,SHARED3PAY,1
12,FULTON,TNC,5
12,FULTON,TOTAL,384
12,FULTON,WALK,2
13,DEKALB,BIKE,15
13,DEKALB,DRIVEALONEFREE,2349
13,DEKALB,DRIVEALONEPAY,152
13,DEKALB,PNR_PRMTRN,2
13,DEKALB,SCHOOL_BUS,311
13,DEKALB,SHARED2FREE,1692
13,DEKALB,SHARED2PAY,18
13,DEKALB,SHARED3FREE,1418
13,DEKALB,SHARED3PAY,38
13,DEKALB,TNC,63
13,DEKALB,TOTAL,6201
13,DEKALB,WALK,143
14,DEKALB,BIKE,19
14,DEKALB,DRIVEALONEFREE,2235
14,DEKALB,DRIVEALONEPAY,71
14,DEKALB,SCHOOL_BUS,3
14,DEKALB,SHARED2FREE,1207
14,DEKALB,SHARED2PAY,7
14,DEKALB,SHARED3FREE,758
14,DEKALB,SHARED3PAY,5
14,DEKALB,TNC,47
14,DEKALB,TOTAL,4489
14,DEKALB,WALK,137
15,DEKALB,BIKE,2
15,DEKALB,DRIVEALONEFREE,278
15,DEKALB,DRIVEALONEPAY,13
15,DEKALB,SCHOOL_BUS,48
15,DEKALB,SHARED2FREE,157
15,DEKALB,SHARED2PAY,2
15,DEKALB,SHARED3FREE,94
15,DEKALB,SHARED3PAY,2
15,DEKALB,TNC,5
15,DEKALB,TOTAL,616
15,DEKALB,WALK,15
16,DEKALB,BIKE,4
16,DEKALB,DRIVEALONEFREE,698
16,DEKALB,DRIVEALONEPAY,37
16,DEKALB,SCHOOL_BUS,51
16,DEKALB,SHARED2FREE,393
16,DEKALB,SHARED2PAY,7
16,DEKALB,SHARED3FREE,269
16,DEKALB,SHARED3PAY,12
16,DEKALB,TNC,10
16,DEKALB,TOTAL,1493
16,DEKALB,WALK,12
17,DEKALB,BIKE,3
17,DEKALB,DRIVEALONEFREE,892
17,DEKALB,DRIVEALONEPAY,55
17,DEKALB,PNR_PRMTRN,3
17,DEKALB,SCHOOL_BUS,79
17,DEKALB,SHARED2FREE,588
17,DEKALB,SHARED2PAY,9
17,DEKALB,SHARED3FREE,364
17,DEKALB,SHARED3PAY,8
17,DEKALB,TNC,11
17,DEKALB,TOTAL,2019
17,DEKALB,WALK,7
18,DEKALB,BIKE,1
18,DEKALB,DRIVEALONEFREE,764
18,DEKALB,DRIVEALONEPAY,22
18,DEKALB,PNR_PRMTRN,1
18,DEKALB,SCHOOL_BUS,25
18,DEKALB,SHARED2FREE,432
18,DEKALB,SHARED2PAY,3
18,DEKALB,SHARED3FREE,267
18,DEKALB,SHARED3PAY,2
18,DEKALB,TNC,8
18,DEKALB,TOTAL,1535
18,DEKALB,WALK,10
19,DEKALB,BIKE,1
19,DEKALB,DRIVEALONEFREE,578
19,DEKALB,DRIVEALONEPAY,38
19,DEKALB,KNR_ALLTRN,1
19,DEKALB,PNR_PRMTRN,1
19,DEKALB,SCHOOL_BUS,58
19,DEKALB,SHARED2FREE,347
19,DEKALB,SHARED2PAY,5
19,DEKALB,SHARED3FREE,313
19,DEKALB,SHARED3PAY,1
19,DEKALB,TNC,10
19,DEKALB,TOTAL,1363
19,DEKALB,WALK,10
20,COBB,BIKE,1
20,COBB,DRIVEALONEFREE,350
20,COBB,DRIVEALONEPAY,6
20,COBB,SCHOOL_BUS,129
20,COBB,SHARED2FREE,320
20,COBB,SHARED2PAY,4
20,COBB,SHARED3FREE,273
20,COBB,SHARED3PAY,3
20,COBB,TNC,5
20,COBB,TOTAL,1100
20,COBB,WALK,9
21,COBB,BIKE,1
21,COBB,DRIVEALONEFREE,428
21,COBB,DRIVEALONEPAY,27
21,COBB,SCHOOL_BUS,54
21,COBB,SHARED2FREE,291
21,COBB,SHARED3FREE,249
21,COBB,SHARED3PAY,4
21,COBB,TNC,10
21,COBB,TOTAL,1081
21,COBB,WALK,17
22,COBB,DRIVEALONEFREE,497
22,COBB,DRIVEALONEPAY,25
22,COBB,SCHOOL_BUS,50
22,COBB,SHARED2FREE,295
22,COBB,SHARED2PAY,1
22,COBB,SHARED3FREE,263
22,COBB,SHARED3PAY,2
22,COBB,TNC,14
22,COBB,TOTAL,1152
22,COBB,WALK,5
23,COBB,BIKE,1
23,COBB,DRIVEALONEFREE,125
23,COBB,DRIVEALONEPAY,4
23,COBB,SCHOOL_BUS,8
23,COBB,SHARED2FREE,85
23,COBB,SHARED3FREE,70
