ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,110234,24492,230,99900,169937,107,210134,194429,337,134956,269944,404900
1,2,20383,4476,57,18447,30461,25,38830,34937,82,24916,48933,73849
1,3,7267,1337,145,2700,3821,38,9967,5158,183,8749,6559,15308
1,4,2602,364,177,571,699,11,3173,1063,188,3143,1281,4424
1,5,523,112,115,74,76,6,597,188,121,750,156,906
1,6,1460,212,210,286,391,26,1746,603,236,1882,703,2585
1,7,381,78,72,66,93,12,447,171,84,531,171,702
1,8,806,152,301,177,279,38,983,431,339,1259,494,1753
1,9,361,106,134,60,105,6,421,211,140,601,171,772
1,10,104,23,7,27,33,0,131,56,7,134,60,194
1,11,232,64,57,31,52,3,263,116,60,353,86,439
1,12,95,25,10,15,28,0,110,53,10,130,43,173
1,15,614,104,0,168,228,0,782,332,0,718,396,1114
1,16,473,100,0,175,294,0,648,394,0,573,469,1042
1,17,7082,1397,2,3878,7075,3,10960,8472,5,8481,10956,19437
1,18,3977,760,3,2087,3335,1,6064,4095,4,4740,5423,10163
1,21,85,25,19,8,22,0,93,47,19,129,30,159
1,22,151,36,25,30,49,3,181,85,28,212,82,294
1,23,87,36,21,12,36,1,99,72,22,144,49,193
1,24,67,23,4,15,25,0,82,48,4,94,40,134
1,31,1801,360,1,476,731,0,2277,1091,1,2162,1207,3369
1,32,5325,1073,3,3333,5806,1,8658,6879,4,6401,9140,15541
1,33,278,49,0,58,73,0,336,122,0,327,131,458
1,34,935,173,8,281,432,1,1216,605,9,1116,714,1830
1,35,2084,348,6,385,651,1,2469,999,7,2438,1037,3475
1,36,479,82,5,79,135,0,558,217,5,566,214,780
1,41,4663,880,102,1517,2582,11,6180,3462,113,5645,4110,9755
1,43,1046,155,45,300,400,8,1346,555,53,1246,708,1954
1,44,1480,268,35,396,670,2,1876,938,37,1783,1068,2851
1,45,148,29,34,23,27,2,171,56,36,211,52,263
1,46,142,24,23,41,71,2,183,95,25,189,114,303
1,47,350,62,44,44,72,1,394,134,45,456,117,573
1,48,341,66,12,72,112,0,413,178,12,419,184,603
1,49,268,46,8,53,70,0,321,116,8,322,123,445
1,51,51,6,1,18,21,0,69,27,1,58,39,97
1,52,153,21,2,22,29,0,175,50,2,176,51,227
1,61,10,10,0,3,5,0,13,15,0,20,8,28
1,62,45,12,0,4,16,0,49,28,0,57,20,77
1,71,5925,1222,5,2641,5125,1,8566,6347,6,7152,7767,14919
1,72,10505,2451,21,7214,13774,7,17719,16225,28,12977,20995,33972
1,73,913,171,2,196,331,0,1109,502,2,1086,527,1613
1,74,7469,1684,20,4328,8158,6,11797,9842,26,9173,12492,21665
1,75,937,178,6,337,601,0,1274,779,6,1121,938,2059
1,76,801,165,0,208,329,0,1009,494,0,966,537,1503
1,81,101,23,2,16,30,0,117,53,2,126,46,172
1,82,41,6,0,9,16,0,50,22,0,47,25,72
1,83,55,12,5,10,26,0,65,38,5,72,36,108
1,91,38,10,2,6,28,0,44,38,2,50,34,84
1,92,102,20,3,29,22,0,131,42,3,125,51,176
1,101,436,87,0,65,92,0,501,179,0,523,157,680
1,102,320,73,0,51,91,0,371,164,0,393,142,535
