AXIS,CHART,QUANTITY
Accessible Employment,AEROTROPOLIS,602430
Jobs Housing Balance,AEROTROPOLIS,0.024645717806531114
Transit Mode Share,AEROTROPOLIS,0.05673758865248227
Zero Car Transit Trips Per HH,AEROTROPOLIS,0.4375
Accessible Employment,BUCKHEAD,914853
Accessible Employment,CITY CENTER,1132864
Accessible Employment,CUMBERLAND,987649
Accessible Employment,DORAVILLE ASSEMBLY,706774
Accessible Employment,EMORY,873677
Accessible Employment,FT MCPHERSON,779604
Accessible Employment,FULTON INDUSTRIAL,544556
Accessible Employment,GWINNETT,422772
Accessible Employment,HARTSFIELD,312352
Accessible Employment,LOCKHEED/DOBBINS,467106
Accessible Employment,MIDTOWN,1093325
Accessible Employment,NEWNAN,85537
Accessible Employment,NORTH POINT,403849
Accessible Employment,PEACHTREE CORNERS,696444
Accessible Employment,PERIMETER,843049
Accessible Employment,STOCKBRIDGE,200548
Accessible Employment,STONECREST,160904
Accessible Employment,TOWN CENTER,380406
Accessible Employment,TRIBUTARY,161781
Accessible Employment,WINDWARD,480711
Jobs Housing Balance,WINDWARD,0.4600231749710313
Transit Mode Share,WINDWARD,0.0009218713989398478
Zero Car Transit Trips Per HH,WINDWARD,0.0012594458438287153
