ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,68137,16866,130,136092,178270,181,204229,195136,311,85133,314543,399676
1,2,10423,2679,22,27315,32847,60,37738,35526,82,13124,60222,73346
1,3,4269,850,60,5513,4449,115,9782,5299,175,5179,10077,15256
1,4,1326,203,45,1659,959,107,2985,1162,152,1574,2725,4299
1,5,202,50,5,383,137,104,585,187,109,257,624,881
1,6,739,132,70,990,490,151,1729,622,221,941,1631,2572
1,7,113,31,12,339,133,116,452,164,128,156,588,744
1,8,562,137,175,378,286,164,940,423,339,874,828,1702
1,9,121,30,8,279,171,164,400,201,172,159,614,773
1,10,37,6,1,93,55,3,130,61,4,44,151,195
1,11,117,32,11,153,79,48,270,111,59,160,280,440
1,12,36,5,0,74,46,11,110,51,11,41,131,172
1,15,29,8,0,631,302,0,660,310,0,37,933,970
1,16,31,14,0,520,335,0,551,349,0,45,855,900
1,17,1261,317,0,9323,7372,3,10584,7689,3,1578,16698,18276
1,18,799,222,0,4817,3844,1,5616,4066,1,1021,8662,9683
1,21,76,21,18,17,25,8,93,46,26,115,50,165
1,22,71,11,3,108,67,29,179,78,32,85,204,289
1,23,21,10,0,93,51,21,114,61,21,31,165,196
1,24,16,8,0,73,42,3,89,50,3,24,118,142
1,31,631,112,0,1492,861,4,2123,973,4,743,2357,3100
1,32,1757,476,0,6657,6072,8,8414,6548,8,2233,12737,14970
1,33,54,9,0,294,110,1,348,119,1,63,405,468
1,34,558,113,3,608,486,3,1166,599,6,674,1097,1771
1,35,1271,221,4,1192,660,10,2463,881,14,1496,1862,3358
1,36,172,24,2,426,216,7,598,240,9,198,649,847
1,41,2616,538,29,3429,3026,79,6045,3564,108,3183,6534,9717
1,43,615,117,20,773,425,39,1388,542,59,752,1237,1989
1,44,710,129,2,1086,758,21,1796,887,23,841,1865,2706
1,45,44,11,1,120,50,23,164,61,24,56,193,249
1,46,57,14,3,113,55,15,170,69,18,74,183,257
1,47,100,22,0,280,121,55,380,143,55,122,456,578
1,48,76,16,1,354,159,23,430,175,24,93,536,629
1,49,62,18,0,229,114,17,291,132,17,80,360,440
1,51,23,5,0,59,36,2,82,41,2,28,97,125
1,52,60,9,0,126,43,9,186,52,9,69,178,247
1,61,7,1,0,29,12,0,36,13,0,8,41,49
1,62,10,3,0,36,25,1,46,28,1,13,62,75
1,71,1692,416,0,6820,5696,2,8512,6112,2,2108,12518,14626
1,72,5285,1421,10,12192,14474,20,17477,15895,30,6716,26686,33402
1,73,125,19,0,909,432,0,1034,451,0,144,1341,1485
1,74,4673,1121,5,7025,8604,14,11698,9725,19,5799,15643,21442
1,75,262,72,0,987,728,2,1249,800,2,334,1717,2051
1,76,127,39,0,813,447,1,940,486,1,166,1261,1427
1,81,25,9,0,85,54,1,110,63,1,34,140,174
1,82,4,1,0,46,30,1,50,31,1,5,77,82
1,83,11,2,0,34,40,3,45,42,3,13,77,90
1,91,5,2,0,44,19,2,49,21,2,7,65,72
1,92,42,7,0,90,31,3,132,38,3,49,124,173
1,101,52,10,0,410,136,0,462,146,0,62,546,608
1,102,28,10,0,320,145,0,348,155,0,38,465,503
1,111,6,2,0,53,27,0,59,29,0,8,80,88
1,112,15,8,0,61,58,0,76,66,0,23,119,142
1,113,10,6,0,83,42,0,93,48,0,16,125,141
1,114,71,25,0,250,87,0,321,112,0,96,337,433
1,121,7,1,0,15,5,1,22,6,1,8,21,29
1,122,1,0,0,0,0,0,1,0,0,1,0,1
1,123,0,0,0,6,6,0,6,6,0,0,12,12
1,124,0,0,0,1,0,0,1,0,0,0,1,1
1,131,0,0,0,1,0,0,1,0,0,0,1,1
1,132,4,5,0,17,8,1,21,13,1,9,26,35
1,133,0,0,0,0,1,0,0,1,0,0,1,1
1,134,0,0,0,0,2,0,0,2,0,0,2,2
1,141,182,43,0,4308,1533,1,4490,1576,1,225,5842,6067
1,142,1890,507,0,15118,10849,6,17008,11356,6,2397,25973,28370
1,143,8253,2259,0,23988,28863,18,32241,31122,18,10512,52869,63381
