hour_bucket,auto,transit,nonmotorized,school_bus,total
1,32614,1213,1024,783,35634
2,81468,2276,2484,322,86550
3,261564,5941,7417,140,275062
4,770469,24976,27637,65838,888920
5,1785937,34566,86789,285054,2192346
6,1429847,25033,67140,94008,1616028
7,1012933,14949,49744,14022,1091648
8,1002856,11020,53434,5905,1073215
9,1230492,12411,86606,4749,1334258
10,1491102,14430,125204,4992,1635728
11,1369654,14506,102283,8642,1495085
12,1398346,15305,88769,84428,1586848
13,1545627,21373,86684,123659,1777343
14,1674729,26871,79403,133154,1914157
15,1763703,34905,71653,42368,1912629
16,1677236,30090,68258,35266,1810850
17,1306642,10696,51986,20711,1390035
18,951591,7237,38352,10605,1007785
19,575634,4950,23540,4573,608697
20,323910,3429,13479,2015,342833
21,159424,2367,6462,975,169228
22,81521,1081,3274,661,86537
23,46718,483,1823,1038,50062
24,34234,440,1435,1807,37916
