period,trips
1,11344
2,16436
3,25070
4,44736
5,81710
6,147999
7,254697
8,459990
9,793375
10,908254
11,780897
12,580442
13,505137
14,436019
15,464165
16,448299
17,502474
18,632544
19,682832
20,710356
21,674377
22,603442
23,606352
24,705103
25,687908
26,749125
27,777589
28,755041
29,772360
30,793376
31,755633
32,652551
33,564718
34,464298
35,394826
36,323975
37,244762
38,188732
39,148188
40,103171
41,72695
42,56759
43,35948
44,29063
45,20868
46,16152
47,13961
48,15197
