"FIPS","trips_produced","work_trips","nonwork_trips","sov","hov","transit","walk","bike","trips_attracted","balance"
13013,377109,79982,297127,139156,224445,68,11971,1469,377126,-17
13015,460410,124471,335939,190903,253616,46,13937,1908,460451,-41
13045,463544,131452,332092,197570,247701,1042,15123,2108,463504,40
13057,1232901,276273,956628,477039,723995,613,27169,4085,1232743,158
13063,1211223,366456,844767,473777,645466,28656,57597,5727,1211159,64
13067,3771996,1132319,2639677,1629450,1999814,14866,112593,15273,3771974,22
13077,651367,156944,494423,260772,370191,388,17383,2633,651415,-48
13085,113785,26178,87607,47853,62012,2,3467,451,113776,9
13089,3464311,1077112,2387199,1466999,1799434,56063,124900,16915,3464615,-304
13097,655659,160172,495487,252888,380667,1124,18275,2705,655719,-60
13113,564081,145091,418990,223641,325034,505,13148,1753,564094,-13
13117,1393864,305683,1088181,519606,844316,479,25874,3589,1393752,112
13121,6232313,2409750,3822563,2829440,2840898,197379,334520,30076,6232358,-45
13135,4512959,1169226,3343733,1766000,2587808,16060,126521,16570,4513042,-83
13139,925797,248221,677576,367469,526679,332,27749,3568,925804,-7
13151,1070582,241836,828746,404384,634288,1516,26751,3643,1070548,34
13217,455130,103752,351378,174352,264883,331,13902,1662,455254,-124
13223,708475,146592,561883,261727,426067,177,18003,2501,708403,72
13247,446815,110496,336319,172357,259797,648,12452,1561,446570,245
13255,267210,79206,188004,114509,139270,185,11816,1430,267242,-32
13297,390633,87455,303178,146633,231830,68,10617,1485,390615,18
