"ORIG_FIPS","DEST_FIPS","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE"
13013,13015,3,3,0,2,1,0,0,0
13013,13057,127,70,57,86,41,0,0,0
13013,13063,87,67,20,70,17,0,0,0
13013,13067,770,433,337,452,316,2,0,0
13013,13085,78,38,40,41,37,0,0,0
13013,13089,4070,2566,1504,2631,1430,9,0,0
13013,13097,15,6,9,9,6,0,0,0
13013,13113,13,2,11,2,11,0,0,0
13013,13117,1781,1005,776,1036,745,0,0,0
13013,13121,4885,2841,2044,2828,2007,50,0,0
13013,13135,59701,19244,40457,25583,34019,7,28,64
13013,13139,10725,4005,6720,5066,5653,0,1,5
13013,13151,210,77,133,88,122,0,0,0
13013,13217,852,486,366,512,340,0,0,0
13013,13223,3,2,1,3,0,0,0,0
13013,13247,805,466,339,479,326,0,0,0
13013,13255,6,2,4,3,3,0,0,0
13013,13297,13473,3914,9559,5494,7961,0,0,18
13015,13013,2,2,0,1,1,0,0,0
13015,13045,397,230,167,256,141,0,0,0
13015,13057,18042,7005,11037,8957,9054,0,13,18
13015,13063,87,71,16,62,25,0,0,0
13015,13067,35980,14893,21087,18471,17394,10,41,64
13015,13077,6,3,3,5,1,0,0,0
13015,13085,85,38,47,39,46,0,0,0
13015,13089,1395,779,616,847,545,3,0,0
13015,13097,891,519,372,549,342,0,0,0
13015,13113,6,5,1,6,0,0,0,0
13015,13117,938,490,448,549,389,0,0,0
13015,13121,6582,3470,3112,3647,2902,33,0,0
13015,13135,500,261,239,286,214,0,0,0
13015,13139,26,16,10,14,12,0,0,0
13015,13151,23,10,13,8,15,0,0,0
13015,13217,3,0,3,3,0,0,0,0
13015,13223,11599,4155,7444,5265,6329,0,2,3
13015,13247,4,2,2,2,2,0,0,0
13015,13255,1,1,0,1,0,0,0,0
13045,13015,421,231,190,261,160,0,0,0
13045,13057,145,87,58,88,57,0,0,0
13045,13063,774,467,307,487,287,0,0,0
13045,13067,5139,2880,2259,3104,2035,0,0,0
13045,13077,8187,4021,4166,4842,3319,26,0,0
13045,13089,1056,522,534,610,444,2,0,0
13045,13097,28210,8205,20005,12146,15923,3,93,45
13045,13113,1220,696,524,833,387,0,0,0
13045,13117,12,7,5,8,4,0,0,0
13045,13121,7345,4048,3297,4424,2917,4,0,0
13045,13135,159,68,91,68,91,0,0,0
13045,13151,84,38,46,54,30,0,0,0
13045,13217,4,3,1,2,2,0,0,0
13045,13223,15153,5139,10014,7137,8007,0,0,9
13045,13247,35,12,23,12,23,0,0,0
13045,13255,75,29,46,30,45,0,0,0
13045,13297,1,0,1,0,1,0,0,0
13057,13013,121,64,57,81,40,0,0,0
13057,13015,18341,7263,11078,9169,9138,0,14,20
13057,13045,133,89,44,87,46,0,0,0
13057,13063,708,421,287,390,308,10,0,0
13057,13067,167739,50510,117229,72651,94319,305,221,243
13057,13077,34,9,25,15,19,0,0,0
13057,13085,2130,835,1295,1144,986,0,0,0
13057,13089,8252,4863,3389,5038,3180,34,0,0
13057,13097,871,489,382,525,346,0,0,0
13057,13113,98,52,46,55,43,0,0,0
13057,13117,34475,10862,23613,15635,18816,0,6,18
13057,13121,79044,32523,46521,38804,39939,263,11,27
13057,13135,9564,5378,4186,5703,3860,1,0,0
13057,13139,1385,715,670,765,620,0,0,0
13057,13151,129,60,69,58,71,0,0,0
13057,13217,15,3,12,6,9,0,0,0
13057,13223,5265,1991,3274,2505,2760,0,0,0
13057,13247,48,29,19,32,16,0,0,0
13057,13255,7,4,3,4,3,0,0,0
13057,13297,41,22,19,31,10,0,0,0
13063,13013,89,50,39,53,36,0,0,0
13063,13015,101,60,41,50,51,0,0,0
13063,13045,719,429,290,460,259,0,0,0
13063,13057,656,370,286,328,318,10,0,0
13063,13067,10674,7175,3499,6172,3964,538,0,0
13063,13077,6975,4178,2797,4266,2659,50,0,0
13063,13085,7,2,5,4,3,0,0,0
13063,13089,55128,27591,27537,26708,25148,3153,71,48
13063,13097,3241,2058,1183,1993,1187,61,0,0
13063,13113,53326,14391,38935,21172,31867,111,66,110
13063,13117,438,254,184,218,205,15,0,0
13063,13121,178626,91930,86696,83701,78719,15296,609,301
13063,13135,5417,3763,1654,3266,1813,338,0,0
13063,13139,52,34,18,31,18,3,0,0
13063,13151,100333,28854,71479,41818,57674,388,257,196
13063,13217,2375,1537,838,1545,815,15,0,0
13063,13223,991,683,308,656,324,11,0,0
13063,13247,4231,2182,2049,2218,1965,48,0,0
13063,13255,6673,3534,3139,3742,2856,75,0,0
13063,13297,647,412,235,416,230,1,0,0
13067,13013,687,375,312,402,283,2,0,0
13067,13015,36163,15000,21163,18430,17618,17,35,63
13067,13045,5115,2790,2325,3028,2087,0,0,0
13067,13057,169048,51571,117477,73376,94880,324,222,246
13067,13063,10486,7112,3374,6175,3771,540,0,0
13067,13077,3185,1918,1267,1998,1185,2,0,0
13067,13085,870,410,460,510,360,0,0,0
13067,13089,63165,34339,28826,35839,26351,971,0,4
13067,13097,68434,22889,45545,30891,37011,47,335,150
13067,13113,3163,1984,1179,2030,1124,9,0,0
13067,13117,12968,7176,5792,7766,5184,18,0,0
13067,13121,369650,161122,208528,187882,175812,5179,368,409
13067,13135,25237,15165,10072,15690,9392,155,0,0
13067,13139,935,510,425,566,369,0,0,0
13067,13151,3878,2258,1620,2126,1738,14,0,0
13067,13217,908,482,426,461,442,5,0,0
13067,13223,129299,37470,91829,53312,75672,27,121,167
13067,13247,1409,852,557,830,570,9,0,0
13067,13255,326,220,106,208,117,1,0,0
13067,13297,511,293,218,296,215,0,0,0
13077,13015,10,5,5,9,1,0,0,0
13077,13045,8269,4084,4185,4930,3313,26,0,0
13077,13057,28,9,19,16,12,0,0,0
13077,13063,7037,4335,2702,4378,2608,51,0,0
13077,13067,3371,2074,1297,2113,1255,3,0,0
13077,13089,3304,1717,1587,1858,1421,25,0,0
13077,13097,4604,2475,2129,2718,1885,1,0,0
13077,13113,48045,14423,33622,20423,27560,0,3,59
13077,13117,7,5,2,6,1,0,0,0
13077,13121,29423,13566,15857,15190,13942,281,4,6
13077,13135,384,169,215,174,209,1,0,0
13077,13139,2,0,2,2,0,0,0,0
13077,13151,1978,1043,935,1105,873,0,0,0
13077,13217,61,25,36,28,33,0,0,0
13077,13223,717,423,294,440,277,0,0,0
13077,13247,129,58,71,68,61,0,0,0
13077,13255,3407,1762,1645,1997,1410,0,0,0
13077,13297,13,2,11,3,10,0,0,0
13085,13013,81,40,41,46,35,0,0,0
13085,13015,95,39,56,47,48,0,0,0
13085,13045,4,0,4,0,4,0,0,0
13085,13057,2041,836,1205,1134,907,0,0,0
13085,13063,9,5,4,4,5,0,0,0
13085,13067,934,443,491,544,390,0,0,0
13085,13089,604,272,332,335,269,0,0,0
13085,13097,18,1,17,1,17,0,0,0
13085,13117,28640,5631,23009,11120,17462,0,15,43
13085,13121,3505,2002,1503,2204,1299,2,0,0
13085,13135,2208,1057,1151,1226,982,0,0,0
13085,13139,7204,2643,4561,3600,3601,0,0,3
13085,13151,1,1,0,1,0,0,0,0
13085,13223,27,4,23,6,21,0,0,0
13085,13247,4,3,1,3,1,0,0,0
13085,13297,16,11,5,8,8,0,0,0
13089,13013,3827,2389,1438,2450,1368,9,0,0
