period,trips
1,14978
2,20656
3,30415
4,56135
5,101109
6,173953
7,310186
8,578734
9,1029893
10,1162453
11,946601
12,669427
13,584556
14,507092
15,546406
16,526809
17,591612
18,742646
19,801772
20,833956
21,789714
22,705371
23,709731
24,877117
25,843728
26,933615
27,978225
28,935932
29,938496
30,974133
31,953807
32,857043
33,755672
34,634363
35,548940
36,458845
37,344189
38,264508
39,203839
40,138994
41,95458
42,73770
43,47851
44,38686
45,27839
46,22223
47,17945
48,19971
