TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,11671245
AUTO,DRIVEALONE,DRIVEALONEPAY,445280
AUTO,SHARED2,SHARED2FREE,5671553
AUTO,SHARED2,SHARED2PAY,40670
AUTO,SHARED3,SHARED3FREE,3880428
AUTO,SHARED3,SHARED3PAY,54950
NONMOTORIZED,NONMOTORIZED,BIKE,121112
NONMOTORIZED,NONMOTORIZED,WALK,1023768
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,945715
TRANSIT,KNR,KNR_ALLTRN,12103
TRANSIT,KNR,KNR_PRMTRN,16642
TRANSIT,PNR,PNR_ALLTRN,6086
TRANSIT,PNR,PNR_PRMTRN,44276
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,169780
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,71661
