ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,68898,16662,541,140500,175864,780,209398,192526,1321,86101,317144,403245
1,2,11048,2825,97,27938,32513,310,38986,35338,407,13970,60761,74731
1,3,4547,957,148,5692,4305,233,10239,5262,381,5652,10230,15882
1,4,1441,269,130,1784,918,220,3225,1187,350,1840,2922,4762
1,5,244,44,20,358,184,133,602,228,153,308,675,983
1,6,851,150,135,1188,508,263,2039,658,398,1136,1959,3095
1,7,163,49,7,299,165,138,462,214,145,219,602,821
1,8,668,164,258,366,298,187,1034,462,445,1090,851,1941
1,9,129,39,17,276,162,189,405,201,206,185,627,812
1,10,37,9,0,88,41,3,125,50,3,46,132,178
1,11,168,29,12,136,78,59,304,107,71,209,273,482
1,12,29,9,0,83,58,12,112,67,12,38,153,191
1,15,35,6,0,722,325,0,757,331,0,41,1047,1088
1,16,37,9,0,624,455,0,661,464,0,46,1079,1125
1,17,1229,315,0,10447,9474,37,11676,9789,37,1544,19958,21502
1,18,904,222,0,5138,4050,24,6042,4272,24,1126,9212,10338
1,21,66,22,26,27,15,8,93,37,34,114,50,164
1,22,77,26,4,94,73,31,171,99,35,107,198,305
1,23,28,4,2,89,43,26,117,47,28,34,158,192
1,24,23,6,1,91,53,7,114,59,8,30,151,181
1,31,620,124,0,1477,917,8,2097,1041,8,744,2402,3146
1,32,1764,417,1,6987,6581,32,8751,6998,33,2182,13600,15782
1,33,52,10,0,292,139,2,344,149,2,62,433,495
1,34,515,95,7,621,472,37,1136,567,44,617,1130,1747
1,35,1284,255,19,1223,710,50,2507,965,69,1558,1983,3541
1,36,157,39,0,400,207,18,557,246,18,196,625,821
1,41,2731,528,84,3673,2913,211,6404,3441,295,3343,6797,10140
1,43,670,120,44,739,510,81,1409,630,125,834,1330,2164
1,44,814,115,10,1137,743,61,1951,858,71,939,1941,2880
1,45,49,14,7,141,76,52,190,90,59,70,269,339
