AXIS,CHART,QUANTITY
Accessible Employment,AEROTROPOLIS,660442
Jobs Housing Balance,AEROTROPOLIS,0.02874617737003058
Transit Mode Share,AEROTROPOLIS,0.06451612903225806
Zero Car Transit Trips Per HH,AEROTROPOLIS,0.32978723404255317
Accessible Employment,BUCKHEAD,934728
Accessible Employment,CITY CENTER,1161740
Accessible Employment,CUMBERLAND,992967
Accessible Employment,DORAVILLE ASSEMBLY,811896
Accessible Employment,EMORY,891942
Accessible Employment,FT MCPHERSON,767679
Accessible Employment,FULTON INDUSTRIAL,609722
Accessible Employment,GWINNETT,449767
Accessible Employment,HARTSFIELD,328070
Accessible Employment,LOCKHEED/DOBBINS,473835
Accessible Employment,MIDTOWN,1145678
Accessible Employment,NEWNAN,93161
Accessible Employment,NORTH POINT,435338
Accessible Employment,PEACHTREE CORNERS,719464
Accessible Employment,PERIMETER,883138
Accessible Employment,STOCKBRIDGE,214434
Accessible Employment,STONECREST,164004
Accessible Employment,TOWN CENTER,393542
Accessible Employment,TRIBUTARY,174621
Accessible Employment,WINDWARD,521312
Jobs Housing Balance,WINDWARD,0.47619047619047616
Transit Mode Share,WINDWARD,0.004251184258472003
Zero Car Transit Trips Per HH,WINDWARD,0.012345679012345678
