ZONE,COUNTY,TRIP MODE,QUANTITY
1,Fulton,BIKE,4
1,Fulton,DRIVEALONEFREE,693
1,Fulton,DRIVEALONEPAY,56
1,Fulton,PNR_ALLTRN,1
1,Fulton,PNR_PRMTRN,1
1,Fulton,SCHOOL_BUS,34
1,Fulton,SHARED2FREE,357
1,Fulton,SHARED2PAY,5
1,Fulton,SHARED3FREE,237
1,Fulton,SHARED3PAY,1
1,Fulton,TNC,6
1,Fulton,TOTAL,1414
1,Fulton,WALK,19
2,Fulton,BIKE,4
2,Fulton,DRIVEALONEFREE,1603
2,Fulton,DRIVEALONEPAY,105
2,Fulton,KNR_PRMTRN,3
2,Fulton,PNR_PRMTRN,7
2,Fulton,SCHOOL_BUS,124
2,Fulton,SHARED2FREE,944
2,Fulton,SHARED2PAY,4
2,Fulton,SHARED3FREE,700
2,Fulton,SHARED3PAY,16
2,Fulton,TNC,21
2,Fulton,TOTAL,3591
2,Fulton,WALK,60
3,Fulton,BIKE,31
3,Fulton,DRIVEALONEFREE,5880
3,Fulton,DRIVEALONEPAY,261
3,Fulton,KNR_ALLTRN,1
3,Fulton,KNR_PRMTRN,4
3,Fulton,PNR_ALLTRN,1
3,Fulton,PNR_PRMTRN,6
3,Fulton,SCHOOL_BUS,779
3,Fulton,SHARED2FREE,4081
3,Fulton,SHARED2PAY,20
3,Fulton,SHARED3FREE,3013
3,Fulton,SHARED3PAY,45
3,Fulton,TNC,140
3,Fulton,TOTAL,14674
3,Fulton,WALK,411
3,Fulton,WALK_ALLTRN,1
4,Fulton,BIKE,12
4,Fulton,DRIVEALONEFREE,2139
4,Fulton,DRIVEALONEPAY,109
4,Fulton,KNR_ALLTRN,1
4,Fulton,KNR_PRMTRN,3
4,Fulton,PNR_PRMTRN,4
4,Fulton,SCHOOL_BUS,191
4,Fulton,SHARED2FREE,1296
4,Fulton,SHARED2PAY,13
4,Fulton,SHARED3FREE,975
4,Fulton,SHARED3PAY,18
4,Fulton,TNC,42
4,Fulton,TOTAL,4893
4,Fulton,WALK,87
4,Fulton,WALK_ALLTRN,3
5,Fulton,BIKE,18
5,Fulton,DRIVEALONEFREE,2229
5,Fulton,DRIVEALONEPAY,150
5,Fulton,KNR_ALLTRN,2
5,Fulton,PNR_ALLTRN,2
5,Fulton,PNR_PRMTRN,9
5,Fulton,SCHOOL_BUS,179
5,Fulton,SHARED2FREE,1312
5,Fulton,SHARED2PAY,21
5,Fulton,SHARED3FREE,867
5,Fulton,SHARED3PAY,29
5,Fulton,TNC,51
5,Fulton,TOTAL,5068
5,Fulton,WALK,171
5,Fulton,WALK_ALLTRN,28
6,Fulton,BIKE,4
6,Fulton,DRIVEALONEFREE,813
6,Fulton,DRIVEALONEPAY,40
6,Fulton,KNR_ALLTRN,1
6,Fulton,SCHOOL_BUS,1
6,Fulton,SHARED2FREE,332
6,Fulton,SHARED2PAY,3
6,Fulton,SHARED3FREE,241
6,Fulton,SHARED3PAY,2
6,Fulton,TNC,13
6,Fulton,TOTAL,1507
6,Fulton,WALK,46
6,Fulton,WALK_ALLTRN,11
7,Fulton,BIKE,28
7,Fulton,DRIVEALONEFREE,3004
7,Fulton,DRIVEALONEPAY,173
7,Fulton,KNR_ALLTRN,2
7,Fulton,PNR_ALLTRN,3
7,Fulton,PNR_PRMTRN,8
7,Fulton,SCHOOL_BUS,175
7,Fulton,SHARED2FREE,2026
7,Fulton,SHARED2PAY,20
7,Fulton,SHARED3FREE,1420
7,Fulton,SHARED3PAY,23
7,Fulton,TNC,55
7,Fulton,TOTAL,7201
7,Fulton,WALK,246
7,Fulton,WALK_ALLTRN,18
8,Fulton,BIKE,3
8,Fulton,DRIVEALONEFREE,1103
8,Fulton,DRIVEALONEPAY,79
8,Fulton,KNR_PRMTRN,1
8,Fulton,PNR_ALLTRN,1
8,Fulton,PNR_PRMTRN,4
8,Fulton,SCHOOL_BUS,111
8,Fulton,SHARED2FREE,817
8,Fulton,SHARED2PAY,9
8,Fulton,SHARED3FREE,605
8,Fulton,SHARED3PAY,11
8,Fulton,TNC,30
8,Fulton,TOTAL,2820
8,Fulton,WALK,32
8,Fulton,WALK_ALLTRN,14
9,Fulton,BIKE,6
9,Fulton,DRIVEALONEFREE,746
9,Fulton,DRIVEALONEPAY,52
9,Fulton,KNR_ALLTRN,1
9,Fulton,KNR_PRMTRN,2
9,Fulton,PNR_PRMTRN,1
9,Fulton,SCHOOL_BUS,76
9,Fulton,SHARED2FREE,438
9,Fulton,SHARED2PAY,4
9,Fulton,SHARED3FREE,370
9,Fulton,SHARED3PAY,8
9,Fulton,TNC,16
9,Fulton,TOTAL,1755
9,Fulton,WALK,33
9,Fulton,WALK_ALLTRN,2
10,Fulton,BIKE,8
10,Fulton,DRIVEALONEFREE,1567
10,Fulton,DRIVEALONEPAY,27
10,Fulton,SCHOOL_BUS,1545
10,Fulton,SHARED2FREE,2091
10,Fulton,SHARED2PAY,3
10,Fulton,SHARED3FREE,1906
10,Fulton,SHARED3PAY,8
10,Fulton,TNC,67
10,Fulton,TOTAL,7338
10,Fulton,WALK,116
11,Fulton,BIKE,2
11,Fulton,DRIVEALONEFREE,321
11,Fulton,DRIVEALONEPAY,17
11,Fulton,SCHOOL_BUS,12
11,Fulton,SHARED2FREE,176
11,Fulton,SHARED3FREE,126
11,Fulton,SHARED3PAY,4
11,Fulton,TNC,3
11,Fulton,TOTAL,665
11,Fulton,WALK,4
12,Fulton,BIKE,2
12,Fulton,DRIVEALONEFREE,184
12,Fulton,DRIVEALONEPAY,9
12,Fulton,PNR_PRMTRN,1
12,Fulton,SCHOOL_BUS,13
12,Fulton,SHARED2FREE,96
12,Fulton,SHARED2PAY,1
12,Fulton,SHARED3FREE,73
12,Fulton,TNC,3
12,Fulton,TOTAL,385
12,Fulton,WALK,3
13,Fulton,BIKE,18
13,Fulton,DRIVEALONEFREE,2519
13,Fulton,DRIVEALONEPAY,166
13,Fulton,KNR_ALLTRN,2
13,Fulton,KNR_PRMTRN,1
13,Fulton,PNR_ALLTRN,1
13,Fulton,PNR_PRMTRN,4
13,Fulton,SCHOOL_BUS,312
13,Fulton,SHARED2FREE,1786
13,Fulton,SHARED2PAY,17
13,Fulton,SHARED3FREE,1376
13,Fulton,SHARED3PAY,22
13,Fulton,TNC,48
13,Fulton,TOTAL,6401
13,Fulton,WALK,128
13,Fulton,WALK_ALLTRN,1
14,Fulton,BIKE,13
14,Fulton,DRIVEALONEFREE,2479
14,Fulton,DRIVEALONEPAY,83
14,Fulton,KNR_ALLTRN,3
14,Fulton,PNR_ALLTRN,3
14,Fulton,SCHOOL_BUS,4
14,Fulton,SHARED2FREE,1307
14,Fulton,SHARED2PAY,5
14,Fulton,SHARED3FREE,854
14,Fulton,SHARED3PAY,15
14,Fulton,TNC,43
14,Fulton,TOTAL,4957
14,Fulton,WALK,130
14,Fulton,WALK_ALLTRN,18
15,Fulton,BIKE,1
15,Fulton,DRIVEALONEFREE,318
15,Fulton,DRIVEALONEPAY,16
15,Fulton,SCHOOL_BUS,27
15,Fulton,SHARED2FREE,164
15,Fulton,SHARED2PAY,2
15,Fulton,SHARED3FREE,102
15,Fulton,SHARED3PAY,1
15,Fulton,TNC,2
15,Fulton,TOTAL,638
15,Fulton,WALK,5
16,Fulton,BIKE,2
16,Fulton,DRIVEALONEFREE,784
16,Fulton,DRIVEALONEPAY,48
16,Fulton,KNR_ALLTRN,3
16,Fulton,PNR_PRMTRN,5
16,Fulton,SCHOOL_BUS,55
16,Fulton,SHARED2FREE,378
16,Fulton,SHARED2PAY,5
16,Fulton,SHARED3FREE,283
16,Fulton,SHARED3PAY,8
16,Fulton,TNC,16
16,Fulton,TOTAL,1609
16,Fulton,WALK,19
16,Fulton,WALK_ALLTRN,3
17,Fulton,DRIVEALONEFREE,807
17,Fulton,DRIVEALONEPAY,62
17,Fulton,PNR_ALLTRN,2
17,Fulton,PNR_PRMTRN,3
17,Fulton,SCHOOL_BUS,100
17,Fulton,SHARED2FREE,529
17,Fulton,SHARED2PAY,4
17,Fulton,SHARED3FREE,395
17,Fulton,SHARED3PAY,11
17,Fulton,TNC,24
17,Fulton,TOTAL,1947
17,Fulton,WALK,9
17,Fulton,WALK_ALLTRN,1
18,Fulton,BIKE,3
18,Fulton,DRIVEALONEFREE,763
18,Fulton,DRIVEALONEPAY,36
18,Fulton,PNR_PRMTRN,1
18,Fulton,SCHOOL_BUS,21
18,Fulton,SHARED2FREE,405
18,Fulton,SHARED2PAY,9
18,Fulton,SHARED3FREE,249
18,Fulton,SHARED3PAY,3
18,Fulton,TNC,9
18,Fulton,TOTAL,1519
18,Fulton,WALK,11
18,Fulton,WALK_ALLTRN,9
19,Fulton,DRIVEALONEFREE,585
19,Fulton,DRIVEALONEPAY,31
19,Fulton,PNR_PRMTRN,1
19,Fulton,SCHOOL_BUS,64
19,Fulton,SHARED2FREE,351
19,Fulton,SHARED2PAY,2
19,Fulton,SHARED3FREE,332
19,Fulton,SHARED3PAY,3
19,Fulton,TNC,7
19,Fulton,TOTAL,1387
19,Fulton,WALK,11
20,Fulton,BIKE,1
20,Fulton,DRIVEALONEFREE,423
20,Fulton,DRIVEALONEPAY,11
20,Fulton,KNR_ALLTRN,1
20,Fulton,SCHOOL_BUS,141
20,Fulton,SHARED2FREE,288
20,Fulton,SHARED2PAY,1
20,Fulton,SHARED3FREE,241
20,Fulton,SHARED3PAY,1
20,Fulton,TNC,12
20,Fulton,TOTAL,1131
20,Fulton,WALK,11
21,Fulton,BIKE,2
21,Fulton,DRIVEALONEFREE,412
21,Fulton,DRIVEALONEPAY,33
21,Fulton,KNR_ALLTRN,1
21,Fulton,PNR_PRMTRN,1
21,Fulton,SCHOOL_BUS,40
21,Fulton,SHARED2FREE,311
21,Fulton,SHARED2PAY,2
21,Fulton,SHARED3FREE,201
21,Fulton,SHARED3PAY,1
21,Fulton,TNC,6
21,Fulton,TOTAL,1010
22,Fulton,BIKE,1
22,Fulton,DRIVEALONEFREE,511
22,Fulton,DRIVEALONEPAY,32
22,Fulton,SCHOOL_BUS,37
22,Fulton,SHARED2FREE,282
22,Fulton,SHARED2PAY,5
22,Fulton,SHARED3FREE,223
22,Fulton,SHARED3PAY,4
22,Fulton,TNC,11
22,Fulton,TOTAL,1112
22,Fulton,WALK,6
23,Fulton,BIKE,1
23,Fulton,DRIVEALONEFREE,141
23,Fulton,DRIVEALONEPAY,7
23,Fulton,SCHOOL_BUS,11
