period,trips
1,13144
2,18298
3,27703
4,48066
5,87489
6,157893
7,267089
8,480326
9,829999
10,952850
11,822524
12,612206
13,537728
14,466263
15,498743
16,483223
17,538478
18,677467
19,729182
20,756446
21,721732
22,645641
23,650853
24,754011
25,733318
26,797059
27,826712
28,799467
29,813851
30,833893
31,793892
32,685909
33,596101
34,489014
35,418423
36,340576
37,257347
38,198688
39,156062
40,107721
41,76940
42,59268
43,37886
44,30811
45,21987
46,17053
47,14938
48,16476
