ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
31,2,1160,257,4,506,672,16,1666,929,20,1421,1194,2615
31,3,2202,420,38,517,694,26,2719,1114,64,2660,1237,3897
31,4,1920,381,76,521,696,63,2441,1077,139,2377,1280,3657
31,5,800,194,24,143,252,23,943,446,47,1018,418,1436
31,6,1533,316,183,356,437,94,1889,753,277,2032,887,2919
31,7,562,120,24,174,155,30,736,275,54,706,359,1065
31,8,1077,254,271,183,243,76,1260,497,347,1602,502,2104
31,9,307,101,43,98,88,20,405,189,63,451,206,657
31,10,330,53,3,91,105,6,421,158,9,386,202,588
31,11,300,81,34,71,83,21,371,164,55,415,175,590
31,12,180,20,7,62,56,13,242,76,20,207,131,338
31,15,668,118,0,414,475,7,1082,593,7,786,896,1682
31,16,287,53,1,128,201,1,415,254,2,341,330,671
31,17,4347,844,4,2466,3466,38,6813,4310,42,5195,5970,11165
31,18,13541,2935,36,15227,23729,210,28768,26664,246,16512,39166,55678
31,21,137,24,12,16,28,3,153,52,15,173,47,220
31,22,168,58,8,43,59,6,211,117,14,234,108,342
31,23,64,18,5,23,47,14,87,65,19,87,84,171
31,24,56,23,0,19,33,5,75,56,5,79,57,136
31,31,90064,20550,380,129402,182920,853,219466,203470,1233,110994,313175,424169
31,32,13430,2877,58,11995,17468,188,25425,20345,246,16365,29651,46016
31,33,4772,1056,3,6288,10739,34,11060,11795,37,5831,17061,22892
31,34,12654,3010,180,10578,13820,241,23232,16830,421,15844,24639,40483
31,35,7313,1456,290,2175,3118,207,9488,4574,497,9059,5500,14559
31,36,2601,575,20,1476,2375,31,4077,2950,51,3196,3882,7078
31,41,1305,218,26,279,354,22,1584,572,48,1549,655,2204
31,43,534,138,30,159,148,14,693,286,44,702,321,1023
31,44,456,89,14,101,129,17,557,218,31,559,247,806
31,45,101,25,12,19,29,16,120,54,28,138,64,202
31,46,80,15,8,23,19,10,103,34,18,103,52,155
31,47,149,40,19,43,47,11,192,87,30,208,101,309
31,48,79,19,2,46,30,12,125,49,14,100,88,188
31,49,133,41,5,49,67,12,182,108,17,179,128,307
31,51,424,99,0,118,179,4,542,278,4,523,301,824
31,52,1048,224,1,397,530,7,1445,754,8,1273,934,2207
31,61,51,11,0,19,11,1,70,22,1,62,31,93
31,62,60,11,0,23,31,0,83,42,0,71,54,125
31,71,126,34,0,66,39,7,192,73,7,160,112,272
31,72,335,69,2,102,140,20,437,209,22,406,262,668
31,73,34,4,0,30,14,4,64,18,4,38,48,86
31,74,672,129,10,151,120,28,823,249,38,811,299,1110
31,75,104,19,0,59,48,8,163,67,8,123,115,238
31,76,55,10,0,25,29,6,80,39,6,65,60,125
31,81,52,14,1,35,33,2,87,47,3,67,70,137
31,82,9,5,0,15,10,0,24,15,0,14,25,39
31,83,37,10,0,14,13,3,51,23,3,47,30,77
31,91,16,3,0,9,10,1,25,13,1,19,20,39
31,92,21,9,2,9,9,2,30,18,4,32,20,52
31,101,10,3,0,4,3,1,14,6,1,13,8,21
31,102,6,1,0,4,10,0,10,11,0,7,14,21
31,111,586,127,0,226,231,2,812,358,2,713,459,1172
31,112,640,135,1,255,359,2,895,494,3,776,616,1392
31,113,1006,175,0,518,701,3,1524,876,3,1181,1222,2403
31,114,5334,1074,5,3991,5357,8,9325,6431,13,6413,9356,15769
31,121,237,40,0,66,80,0,303,120,0,277,146,423
31,122,11,5,0,8,3,0,19,8,0,16,11,27
31,123,113,31,0,45,49,0,158,80,0,144,94,238
31,124,10,2,0,1,11,0,11,13,0,12,12,24
31,131,8,0,0,1,3,0,9,3,0,8,4,12
31,132,73,17,0,26,47,1,99,64,1,90,74,164
31,133,2,2,0,2,0,0,4,2,0,4,2,6
31,134,2,0,0,3,2,0,5,2,0,2,5,7
31,141,242,37,0,128,116,7,370,153,7,279,251,530
31,142,474,69,0,206,200,12,680,269,12,543,418,961
31,143,355,66,0,89,102,7,444,168,7,421,198,619
31,151,9,2,0,2,4,0,11,6,0,11,6,17
31,152,25,4,0,7,15,0,32,19,0,29,22,51
31,153,21,3,0,5,6,0,26,9,0,24,11,35
31,163,11,3,0,11,11,0,22,14,0,14,22,36
31,164,2,0,0,0,1,0,2,1,0,2,1,3
31,171,4358,901,1,6245,11294,6,10603,12195,7,5260,17545,22805
31,172,539,124,0,253,262,2,792,386,2,663,517,1180
31,173,5367,1141,0,4971,8375,17,10338,9516,17,6508,13363,19871
31,181,4,1,0,2,3,0,6,4,0,5,5,10
31,182,2,1,0,0,1,0,2,2,0,3,1,4
31,191,7,1,0,8,6,0,15,7,0,8,14,22
31,192,4,2,0,3,0,0,7,2,0,6,3,9
31,201,82,13,0,61,65,1,143,78,1,95,127,222
32,1,5294,1090,24,3464,5921,6,8758,7011,30,6408,9391,15799
32,2,5933,1352,14,6781,11226,7,12714,12578,21,7299,18014,25313
32,3,7594,1593,50,5935,8563,26,13529,10156,76,9237,14524,23761
32,4,2749,552,112,1307,1905,10,4056,2457,122,3413,3222,6635
32,5,1017,211,32,299,387,10,1316,598,42,1260,696,1956
32,6,1746,338,170,601,751,47,2347,1089,217,2254,1399,3653
32,7,591,126,30,200,241,9,791,367,39,747,450,1197
32,8,1119,287,242,379,445,79,1498,732,321,1648,903,2551
32,9,333,103,37,107,187,5,440,290,42,473,299,772
32,10,219,31,3,63,84,0,282,115,3,253,147,400
32,11,330,90,28,66,82,2,396,172,30,448,150,598
32,12,187,34,7,49,72,1,236,106,8,228,122,350
32,15,430,75,0,225,291,0,655,366,0,505,516,1021
32,16,205,42,0,104,173,0,309,215,0,247,277,524
32,17,3446,648,4,1991,3612,0,5437,4260,4,4098,5603,9701
32,18,8259,1721,12,8648,14435,3,16907,16156,15,9992,23086,33078
32,21,122,50,21,9,22,1,131,72,22,193,32,225
32,22,200,84,12,26,59,1,226,143,13,296,86,382
32,23,96,30,8,22,33,0,118,63,8,134,55,189
32,24,83,39,6,17,48,0,100,87,6,128,65,193
32,31,14008,3003,56,11984,17789,190,25992,20792,246,17067,29963,47030
32,32,53637,11550,42,89151,127967,29,142788,139517,71,65229,217147,282376
32,33,1513,320,2,910,1358,0,2423,1678,2,1835,2268,4103
32,34,13115,3002,134,10650,14002,202,23765,17004,336,16251,24854,41105
32,35,12175,2576,175,9086,12483,71,21261,15059,246,14926,21640,36566
32,36,2122,422,16,1117,1651,6,3239,2073,22,2560,2774,5334
32,41,3332,712,31,1799,2804,7,5131,3516,38,4075,4610,8685
32,43,779,169,39,290,372,20,1069,541,59,987,682,1669
32,44,889,176,14,281,315,6,1170,491,20,1079,602,1681
32,45,105,25,10,29,47,1,134,72,11,140,77,217
32,46,104,23,6,35,33,8,139,56,14,133,76,209
32,47,206,59,18,59,96,2,265,155,20,283,157,440
32,48,179,39,1,42,70,0,221,109,1,219,112,331
32,49,187,56,3,41,80,1,228,136,4,246,122,368
32,51,194,40,0,51,74,0,245,114,0,234,125,359
32,52,488,88,0,103,122,0,591,210,0,576,225,801
32,61,61,17,0,19,27,0,80,44,0,78,46,124
32,62,86,11,0,17,32,0,103,43,0,97,49,146
32,71,397,73,2,101,146,2,498,219,4,472,249,721
32,72,826,168,10,202,337,2,1028,505,12,1004,541,1545
32,73,97,15,0,25,30,0,122,45,0,112,55,167
32,74,1678,280,13,431,673,1,2109,953,14,1971,1105,3076
32,75,212,38,1,72,95,0,284,133,1,251,167,418
32,76,147,30,1,45,46,0,192,76,1,178,91,269
32,81,96,27,2,23,41,0,119,68,2,125,64,189
32,82,37,11,0,8,15,0,45,26,0,48,23,71
32,83,54,15,0,15,33,0,69,48,0,69,48,117
32,91,38,10,0,6,10,0,44,20,0,48,16,64
32,92,58,14,0,5,8,0,63,22,0,72,13,85
32,101,46,10,0,8,18,0,54,28,0,56,26,82
32,102,28,8,0,11,22,0,39,30,0,36,33,69
32,111,207,24,0,53,67,0,260,91,0,231,120,351
32,112,175,42,0,67,62,0,242,104,0,217,129,346
32,113,316,43,0,94,135,0,410,178,0,359,229,588
32,114,1000,184,4,299,391,0,1299,575,4,1188,690,1878
32,121,56,11,0,20,19,0,76,30,0,67,39,106
32,122,2,0,0,1,4,0,3,4,0,2,5,7
32,123,22,12,0,11,6,0,33,18,0,34,17,51
32,124,5,1,0,1,6,0,6,7,0,6,7,13
32,131,4,0,0,4,4,0,8,4,0,4,8,12
32,132,69,14,0,22,20,0,91,34,0,83,42,125
32,133,5,1,0,0,1,0,5,2,0,6,1,7
32,134,3,1,0,1,1,0,4,2,0,4,2,6
32,141,409,59,0,127,179,0,536,238,0,468,306,774
32,142,1037,168,0,333,536,0,1370,704,0,1205,869,2074
32,143,825,157,0,235,420,0,1060,577,0,982,655,1637
32,151,20,2,0,13,6,0,33,8,0,22,19,41
32,152,79,6,0,27,29,0,106,35,0,85,56,141
32,153,68,9,0,25,17,0,93,26,0,77,42,119
32,163,33,8,1,14,16,0,47,24,1,42,30,72
32,164,6,0,0,1,2,0,7,2,0,6,3,9
32,171,721,122,0,249,398,0,970,520,0,843,647,1490
32,172,186,33,0,52,58,0,238,91,0,219,110,329
32,173,1414,259,0,385,549,0,1799,808,0,1673,934,2607
32,181,4,7,0,3,2,0,7,9,0,11,5,16
32,182,6,1,0,0,3,0,6,4,0,7,3,10
32,191,28,4,0,7,7,0,35,11,0,32,14,46
32,192,19,3,0,6,6,0,25,9,0,22,12,34
32,201,108,20,0,37,73,0,145,93,0,128,110,238
33,1,297,55,1,67,99,1,364,154,2,353,167,520
33,2,223,48,0,64,106,0,287,154,0,271,170,441
33,3,924,177,10,232,322,10,1156,499,20,1111,564,1675
33,4,770,137,9,316,440,3,1086,577,12,916,759,1675
33,5,789,125,3,253,381,0,1042,506,3,917,634,1551
33,6,732,130,19,330,370,27,1062,500,46,881,727,1608
33,7,701,141,0,396,428,8,1097,569,8,842,832,1674
33,8,662,114,73,293,337,75,955,451,148,849,705,1554
33,9,286,44,3,121,149,8,407,193,11,333,278,611
33,10,591,137,1,256,400,0,847,537,1,729,656,1385
33,11,265,40,3,82,97,2,347,137,5,308,181,489
33,12,209,48,0,47,95,1,256,143,1,257,143,400
33,15,26,8,0,21,26,0,47,34,0,34,47,81
33,16,25,2,0,9,21,0,34,23,0,27,30,57
33,17,260,39,0,114,122,0,374,161,0,299,236,535
33,18,468,100,0,219,388,0,687,488,0,568,607,1175
33,21,131,33,10,18,10,0,149,43,10,174,28,202
33,22,126,18,1,35,37,1,161,55,2,145,73,218
33,23,56,10,0,16,12,0,72,22,0,66,28,94
33,24,34,8,0,18,23,0,52,31,0,42,41,83
33,31,4808,1050,2,6286,10964,33,11094,12014,35,5860,17283,23143
33,32,1501,311,2,878,1449,0,2379,1760,2,1814,2327,4141
33,33,13844,3080,0,29478,50798,0,43322,53878,0,16924,80276,97200
33,34,3597,816,10,3973,6436,27,7570,7252,37,4423,10436,14859
33,35,3766,795,19,1705,2832,6,5471,3627,25,4580,4543,9123
33,36,5442,1301,7,8709,14931,6,14151,16232,13,6750,23646,30396
33,41,577,101,14,130,147,2,707,248,16,692,279,971
33,43,286,71,7,122,96,13,408,167,20,364,231,595
33,44,189,42,1,52,67,7,241,109,8,232,126,358
33,45,65,10,1,21,30,0,86,40,1,76,51,127
33,46,58,12,1,28,10,7,86,22,8,71,45,116
