"FIPS","trips_produced","work_trips","nonwork_trips","sov","hov","transit","walk","bike","trips_attracted","balance"
13013,431943,84463,347480,157173,259218,279,13634,1639,431916,27
13015,494388,132959,361429,206188,270847,92,15037,2224,494447,-59
13045,476519,135752,340767,205944,252594,1013,14850,2118,476457,62
13057,1366343,291031,1075312,522246,807844,960,30701,4592,1366082,261
13063,1236116,374689,861427,484999,656704,31571,56890,5952,1236078,38
13067,3884797,1148301,2736496,1650347,2059628,27934,130523,16365,3884754,43
13077,718515,165303,553212,285982,410615,467,18760,2691,718504,11
13085,127883,27652,100231,51870,72057,9,3525,422,127892,-9
13089,3525812,1102131,2423681,1466056,1828520,73498,139849,17889,3526406,-594
13097,680992,165154,515838,266057,392539,1432,18507,2457,680935,57
13113,584052,148470,435582,236727,331990,575,12963,1797,583928,124
13117,1599781,322785,1276996,588855,976969,1128,28409,4420,1599622,159
13121,6422684,2480346,3942338,2907167,2894181,236879,354019,30438,6422686,-2
13135,4738003,1208885,3529118,1837694,2708205,27770,146578,17756,4737860,143
13139,988254,258421,729833,391104,562713,475,30189,3773,988239,15
13151,1161810,252263,909547,442533,683259,1684,29959,4375,1161943,-133
13217,510324,110690,399634,194261,298320,414,15186,2143,510243,81
13223,786922,151400,635522,290076,473853,339,19939,2715,787149,-227
13247,465284,116241,349043,180889,269406,822,12447,1720,465375,-91
13255,274260,82322,191938,123175,138067,172,11488,1358,274278,-18
13297,426452,90809,335643,160532,251983,138,12040,1759,426340,112
