period,trips
1,16806
2,22328
3,33555
4,59686
5,106936
6,184006
7,325794
8,602495
9,1068963
10,1208920
11,989492
12,701672
13,617428
14,538375
15,582148
16,564399
17,629834
18,789529
19,848560
20,882794
21,837310
22,748985
23,754255
24,925948
25,889426
26,984542
27,1030524
28,985166
29,984504
30,1021554
31,1001294
32,898109
33,794618
34,663968
35,578526
36,479552
37,360505
38,275120
39,214398
40,144917
41,100583
42,76999
43,49760
44,40455
45,29477
46,22838
47,19473
48,20928
