hour_bucket,auto,transit,nonmotorized,school_bus,total
1,35583,1582,1196,773,39134
2,86911,3110,2851,369,93241
3,275193,7378,8233,138,290942
4,797915,32408,30042,67924,928289
5,1849072,43633,92402,292776,2277883
6,1489815,31554,73674,96121,1691164
7,1067479,18925,55012,14387,1155803
8,1067309,14226,58988,6024,1146547
9,1305008,15605,93852,4898,1419363
10,1574440,18574,133286,5054,1731354
11,1449108,18475,109921,8791,1586295
12,1477932,19227,96284,86760,1680203
13,1626426,26837,93506,127199,1873968
14,1759022,34140,85875,136653,2015690
15,1839302,44535,78754,43467,2006058
16,1748623,39025,75171,36584,1899403
17,1366086,13778,57320,21402,1458586
18,995828,8858,42596,10796,1058078
19,598794,6141,26061,4629,635625
20,338221,4377,14730,1987,359315
21,166434,2922,7234,992,177582
22,84643,1335,3526,711,90215
23,48605,564,2026,1120,52315
24,36511,442,1556,1892,40401
