period,trips
1,12805
2,17770
3,27510
4,47550
5,86573
6,156341
7,265158
8,475751
9,819914
10,941248
11,812288
12,604641
13,530288
14,459646
15,491925
16,477133
17,531331
18,668741
19,719164
20,747642
21,711268
22,637735
23,641161
24,741917
25,723282
26,786662
27,816871
28,791661
29,806079
30,826591
31,787691
32,680683
33,591687
34,484866
35,415678
36,338758
37,256046
38,196068
39,155501
40,107239
41,75913
42,58789
43,37412
44,30363
45,21875
46,16810
47,15061
48,16014
