ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
9,22,5325,1344,81,2699,4651,72,8024,5995,153,6750,7422,14172
9,23,1482,354,48,845,1133,24,2327,1487,72,1884,2002,3886
9,24,1172,228,12,441,631,8,1613,859,20,1412,1080,2492
9,31,301,80,13,74,133,12,375,213,25,394,219,613
9,32,303,86,4,113,157,0,416,243,4,393,270,663
9,33,216,46,1,90,119,0,306,165,1,263,209,472
9,34,309,106,29,61,101,9,370,207,38,444,171,615
9,35,1527,425,226,324,446,19,1851,871,245,2178,789,2967
9,36,943,223,39,395,489,14,1338,712,53,1205,898,2103
9,41,1653,580,810,291,457,101,1944,1037,911,3043,849,3892
9,43,2412,676,239,1095,1355,87,3507,2031,326,3327,2537,5864
9,44,1062,282,174,273,430,60,1335,712,234,1518,763,2281
9,45,1728,412,114,2114,2406,96,3842,2818,210,2254,4616,6870
9,46,652,161,135,395,532,56,1047,693,191,948,983,1931
9,47,3178,716,183,2458,2861,107,5636,3577,290,4077,5426,9503
9,48,954,223,59,373,499,26,1327,722,85,1236,898,2134
9,49,2874,727,39,1552,2842,32,4426,3569,71,3640,4426,8066
9,51,291,57,4,106,128,1,397,185,5,352,235,587
9,52,564,131,9,196,275,2,760,406,11,704,473,1177
9,61,357,58,2,115,146,3,472,204,5,417,264,681
9,62,504,108,0,216,258,4,720,366,4,612,478,1090
9,71,147,40,8,62,78,5,209,118,13,195,145,340
9,72,368,119,41,86,107,13,454,226,54,528,206,734
9,73,84,16,0,39,30,1,123,46,1,100,70,170
9,74,592,214,117,118,141,11,710,355,128,923,270,1193
9,75,220,49,8,77,45,6,297,94,14,277,128,405
9,76,205,41,2,114,98,8,319,139,10,248,220,468
9,81,970,195,10,453,543,3,1423,738,13,1175,999,2174
9,82,319,59,2,160,177,2,479,236,4,380,339,719
9,83,844,171,4,274,343,3,1118,514,7,1019,620,1639
9,91,175,48,1,85,93,1,260,141,2,224,179,403
9,92,296,57,8,84,81,3,380,138,11,361,168,529
9,101,19,0,0,7,12,0,26,12,0,19,19,38
9,102,10,3,1,5,11,0,15,14,1,14,16,30
9,111,6,0,0,4,2,0,10,2,0,6,6,12
9,112,3,0,0,2,11,0,5,11,0,3,13,16
9,113,5,2,0,2,15,0,7,17,0,7,17,24
9,114,37,14,0,15,14,0,52,28,0,51,29,80
9,121,90,21,1,25,30,0,115,51,1,112,55,167
9,122,9,2,0,4,5,0,13,7,0,11,9,20
9,123,51,13,0,17,34,0,68,47,0,64,51,115
9,124,13,3,0,5,2,0,18,5,0,16,7,23
9,131,102,18,0,16,31,1,118,49,1,120,48,168
9,132,512,105,7,145,178,5,657,283,12,624,328,952
9,133,40,14,0,10,22,1,50,36,1,54,33,87
9,134,79,6,0,34,42,0,113,48,0,85,76,161
9,141,16,6,0,15,25,1,31,31,1,22,41,63
9,142,82,15,2,44,69,1,126,84,3,99,114,213
9,143,56,27,4,35,32,1,91,59,5,87,68,155
9,151,0,1,0,1,0,0,1,1,0,1,1,2
9,152,11,3,0,1,4,0,12,7,0,14,5,19
9,153,22,2,0,7,7,0,29,9,0,24,14,38
9,163,342,73,7,91,97,1,433,170,8,422,189,611
9,164,47,10,0,21,14,0,68,24,0,57,35,92
9,171,49,9,0,21,27,0,70,36,0,58,48,106
9,172,29,7,0,13,20,0,42,27,0,36,33,69
9,173,302,64,1,97,109,1,399,173,2,367,207,574
9,181,147,29,0,23,25,1,170,54,1,176,49,225
9,182,80,19,0,9,13,0,89,32,0,99,22,121
9,191,82,17,0,39,42,1,121,59,1,99,82,181
9,192,46,13,0,24,18,0,70,31,0,59,42,101
9,201,9,1,0,3,8,0,12,9,0,10,11,21
10,1,103,21,5,27,22,0,130,43,5,129,49,178
10,2,70,16,1,8,24,0,78,40,1,87,32,119
10,3,460,85,43,116,103,19,576,188,62,588,238,826
10,4,703,129,55,230,294,7,933,423,62,887,531,1418
10,5,1004,223,33,397,626,8,1401,849,41,1260,1031,2291
10,6,1096,244,108,432,542,53,1528,786,161,1448,1027,2475
10,7,3683,884,45,3709,5556,29,7392,6440,74,4612,9294,13906
10,8,1199,263,262,546,658,103,1745,921,365,1724,1307,3031
10,9,838,217,30,463,728,9,1301,945,39,1085,1200,2285
10,10,11649,2907,9,17001,29090,3,28650,31997,12,14565,46094,60659
10,11,2238,559,28,2127,3392,16,4365,3951,44,2825,5535,8360
10,12,3493,863,13,3835,7744,5,7328,8607,18,4369,11584,15953
10,15,2,2,0,5,4,0,7,6,0,4,9,13
10,16,4,1,0,0,1,0,4,2,0,5,1,6
10,17,44,9,0,10,28,0,54,37,0,53,38,91
10,18,87,11,0,13,24,0,100,35,0,98,37,135
10,21,902,192,50,264,412,4,1166,604,54,1144,680,1824
10,22,768,170,6,231,266,0,999,436,6,944,497,1441
10,23,559,111,2,312,480,0,871,591,2,672,792,1464
10,24,376,70,0,88,148,1,464,218,1,446,237,683
10,31,312,46,1,92,118,2,404,164,3,359,212,571
10,32,240,46,0,63,74,0,303,120,0,286,137,423
10,33,654,140,1,259,402,1,913,542,2,795,662,1457
10,34,327,72,0,109,102,0,436,174,0,399,211,610
10,35,1177,246,7,319,439,1,1496,685,8,1430,759,2189
10,36,1995,487,6,1237,1849,1,3232,2336,7,2488,3087,5575
10,41,380,100,36,64,118,3,444,218,39,516,185,701
10,43,420,94,16,147,172,3,567,266,19,530,322,852
10,44,217,44,8,75,79,5,292,123,13,269,159,428
10,45,114,23,10,47,64,2,161,87,12,147,113,260
10,46,101,18,9,43,29,17,144,47,26,128,89,217
10,47,246,55,25,70,75,0,316,130,25,326,145,471
10,48,143,23,5,48,38,0,191,61,5,171,86,257
10,49,306,56,4,99,121,0,405,177,4,366,220,586
10,51,1432,298,1,985,1577,0,2417,1875,1,1731,2562,4293
10,52,3271,831,2,2517,4315,0,5788,5146,2,4104,6832,10936
10,61,1062,227,0,606,976,0,1668,1203,0,1289,1582,2871
10,62,558,112,0,261,399,0,819,511,0,670,660,1330
10,71,30,4,0,7,22,0,37,26,0,34,29,63
10,72,104,34,0,20,45,1,124,79,1,138,66,204
10,73,11,0,1,2,0,0,13,0,1,12,2,14
10,74,142,54,5,21,54,0,163,108,5,201,75,276
10,75,37,8,1,7,7,0,44,15,1,46,14,60
10,76,44,2,0,7,5,0,51,7,0,46,12,58
10,81,209,38,3,57,76,0,266,114,3,250,133,383
10,82,70,19,2,16,21,0,86,40,2,91,37,128
10,83,227,47,0,53,78,0,280,125,0,274,131,405
10,91,37,10,0,2,11,0,39,21,0,47,13,60
10,92,60,11,0,15,18,0,75,29,0,71,33,104
