ZONE,COUNTY,TRIP MODE,QUANTITY
17,DEKALB,SCHOOL_BUS,98
17,DEKALB,SHARED2FREE,558
17,DEKALB,SHARED3FREE,425
17,DEKALB,TNC,13
17,DEKALB,TOTAL,1978
17,DEKALB,WALK,8
18,DEKALB,BIKE,2
18,DEKALB,DRIVEALONEFREE,803
18,DEKALB,KNR_ALLTRN,1
18,DEKALB,SCHOOL_BUS,39
18,DEKALB,SHARED2FREE,395
18,DEKALB,SHARED3FREE,292
18,DEKALB,TNC,13
18,DEKALB,TOTAL,1554
18,DEKALB,WALK,9
19,DEKALB,BIKE,1
19,DEKALB,DRIVEALONEFREE,588
19,DEKALB,PNR_ALLTRN,1
19,DEKALB,PNR_PRMTRN,1
19,DEKALB,SCHOOL_BUS,72
19,DEKALB,SHARED2FREE,397
19,DEKALB,SHARED3FREE,372
19,DEKALB,TNC,10
19,DEKALB,TOTAL,1460
19,DEKALB,WALK,18
20,COBB,BIKE,3
20,COBB,DRIVEALONEFREE,335
20,COBB,SCHOOL_BUS,117
20,COBB,SHARED2FREE,267
20,COBB,SHARED3FREE,276
20,COBB,TNC,9
20,COBB,TOTAL,1023
20,COBB,WALK,16
21,COBB,DRIVEALONEFREE,431
21,COBB,PNR_ALLTRN,1
21,COBB,SCHOOL_BUS,54
21,COBB,SHARED2FREE,296
21,COBB,SHARED3FREE,268
21,COBB,TNC,6
21,COBB,TOTAL,1064
21,COBB,WALK,8
22,COBB,DRIVEALONEFREE,476
22,COBB,DRIVEALONEPAY,2
22,COBB,PNR_PRMTRN,1
22,COBB,SCHOOL_BUS,63
22,COBB,SHARED2FREE,279
22,COBB,SHARED3FREE,249
22,COBB,SHARED3PAY,1
22,COBB,TNC,5
22,COBB,TOTAL,1080
22,COBB,WALK,4
23,COBB,DRIVEALONEFREE,148
23,COBB,DRIVEALONEPAY,1
23,COBB,PNR_PRMTRN,1
23,COBB,SCHOOL_BUS,13
23,COBB,SHARED2FREE,83
23,COBB,SHARED3FREE,73
23,COBB,TNC,4
23,COBB,TOTAL,323
24,COBB,DRIVEALONEFREE,249
24,COBB,DRIVEALONEPAY,1
24,COBB,SCHOOL_BUS,45
24,COBB,SHARED2FREE,193
24,COBB,SHARED3FREE,174
24,COBB,TNC,2
24,COBB,TOTAL,665
24,COBB,WALK,1
25,COBB,BIKE,4
25,COBB,DRIVEALONEFREE,1054
25,COBB,PNR_PRMTRN,1
25,COBB,SCHOOL_BUS,105
25,COBB,SHARED2FREE,763
25,COBB,SHARED3FREE,596
25,COBB,TNC,37
25,COBB,TOTAL,2611
25,COBB,WALK,51
26,GWINNETT,BIKE,9
26,GWINNETT,DRIVEALONEFREE,1588
26,GWINNETT,PNR_PRMTRN,1
26,GWINNETT,SCHOOL_BUS,516
26,GWINNETT,SHARED2FREE,1276
26,GWINNETT,SHARED3FREE,1226
26,GWINNETT,TNC,41
26,GWINNETT,TOTAL,4768
26,GWINNETT,WALK,111
27,GWINNETT,BIKE,1
27,GWINNETT,DRIVEALONEFREE,788
27,GWINNETT,PNR_PRMTRN,1
27,GWINNETT,SCHOOL_BUS,134
27,GWINNETT,SHARED2FREE,562
27,GWINNETT,SHARED3FREE,586
27,GWINNETT,TNC,20
27,GWINNETT,TOTAL,2110
27,GWINNETT,WALK,18
28,GWINNETT,BIKE,5
28,GWINNETT,DRIVEALONEFREE,1054
28,GWINNETT,SCHOOL_BUS,385
28,GWINNETT,SHARED2FREE,802
28,GWINNETT,SHARED3FREE,621
28,GWINNETT,TNC,20
28,GWINNETT,TOTAL,2940
28,GWINNETT,WALK,53
29,GWINNETT,DRIVEALONEFREE,61
29,GWINNETT,SCHOOL_BUS,1
29,GWINNETT,SHARED2FREE,47
29,GWINNETT,SHARED3FREE,32
29,GWINNETT,TNC,4
29,GWINNETT,TOTAL,149
29,GWINNETT,WALK,4
30,GWINNETT,BIKE,11
30,GWINNETT,DRIVEALONEFREE,1279
30,GWINNETT,PNR_PRMTRN,4
30,GWINNETT,SCHOOL_BUS,115
30,GWINNETT,SHARED2FREE,828
30,GWINNETT,SHARED3FREE,671
30,GWINNETT,TNC,13
30,GWINNETT,TOTAL,2954
30,GWINNETT,WALK,33
31,ROCKDALE,BIKE,1
31,ROCKDALE,DRIVEALONEFREE,487
31,ROCKDALE,DRIVEALONEPAY,1
31,ROCKDALE,PNR_PRMTRN,2
31,ROCKDALE,SCHOOL_BUS,43
31,ROCKDALE,SHARED2FREE,272
31,ROCKDALE,SHARED3FREE,191
31,ROCKDALE,TNC,9
31,ROCKDALE,TOTAL,1010
31,ROCKDALE,WALK,4
32,HENRY,BIKE,9
32,HENRY,DRIVEALONEFREE,1034
32,HENRY,SCHOOL_BUS,110
