AXIS,QUANTITY,CHART
Accessible Employment,230095005,AIRPORT
Jobs Housing Balance,0.050111150548280435,AIRPORT
Transit Mode Share,0.08098591549295775,AIRPORT
Zero Car Transit Trips Per HH,0.7032618825722274,AIRPORT
Accessible Employment,123156461,BUCKHEAD
Jobs Housing Balance,0.3715306666666667,BUCKHEAD
Transit Mode Share,0.03846190059222853,BUCKHEAD
Zero Car Transit Trips Per HH,0.13192271252619792,BUCKHEAD
Accessible Employment,71682692,CUMBERLAND
Jobs Housing Balance,0.221263379734901,CUMBERLAND
Transit Mode Share,0.00819541753455785,CUMBERLAND
Zero Car Transit Trips Per HH,0.038750751955083214,CUMBERLAND
Accessible Employment,72676476,DOWNTOWN
Jobs Housing Balance,0.09138821889615445,DOWNTOWN
Transit Mode Share,0.09706281152722342,DOWNTOWN
Zero Car Transit Trips Per HH,0.9893357164134644,DOWNTOWN
Accessible Employment,371371658,EMORY
Jobs Housing Balance,0.16146971554465825,EMORY
Transit Mode Share,0.028707676113618602,EMORY
Zero Car Transit Trips Per HH,0.2617737676056338,EMORY
Accessible Employment,11202868,FULTON INDUSTRIAL
Jobs Housing Balance,0.5296734623358673,FULTON INDUSTRIAL
Transit Mode Share,0.03215093011190988,FULTON INDUSTRIAL
Zero Car Transit Trips Per HH,0.062423550517817825,FULTON INDUSTRIAL
Accessible Employment,57188311,GWINNETT PLACE
Jobs Housing Balance,0.34412933004904245,GWINNETT PLACE
Transit Mode Share,0.009780091925952378,GWINNETT PLACE
Zero Car Transit Trips Per HH,0.017378687731742705,GWINNETT PLACE
Accessible Employment,56273949,MIDTOWN
Jobs Housing Balance,0.2952135221947238,MIDTOWN
Transit Mode Share,0.05332849304307462,MIDTOWN
Zero Car Transit Trips Per HH,0.2745433789954338,MIDTOWN
Accessible Employment,78476641,NORCROSS
Jobs Housing Balance,0.35104595921152787,NORCROSS
Transit Mode Share,0.016132388772793882,NORCROSS
Zero Car Transit Trips Per HH,0.030954428202923472,NORCROSS
Accessible Employment,48765074,NORTH POINT
Jobs Housing Balance,0.2312290834502861,NORTH POINT
Transit Mode Share,0.003905849153412006,NORTH POINT
Zero Car Transit Trips Per HH,0.021651590312226437,NORTH POINT
Accessible Employment,109381261,PERIMETER
Jobs Housing Balance,0.19393756836881906,PERIMETER
Transit Mode Share,0.015922603017292234,PERIMETER
Zero Car Transit Trips Per HH,0.1405215400964604,PERIMETER
Accessible Employment,12340885,SOUTHLAKE
Jobs Housing Balance,1.0335731414868106,SOUTHLAKE
Transit Mode Share,0.01852754520778377,SOUTHLAKE
Zero Car Transit Trips Per HH,0.038181300118044534,SOUTHLAKE
Accessible Employment,56724834,TOWN CENTER
Jobs Housing Balance,0.32522020117788086,TOWN CENTER
Transit Mode Share,0.004910945875842988,TOWN CENTER
Zero Car Transit Trips Per HH,0.011591880341880342,TOWN CENTER
