ZONE,PER,QUANTITY
1,PER01,0
1,PER02,2
1,PER03,4
1,PER04,5
1,PER05,5
1,PER06,6
1,PER07,10
1,PER08,16
1,PER09,36
1,PER10,63
1,PER11,76
1,PER12,83
1,PER13,94
1,PER14,114
1,PER15,130
1,PER16,117
1,PER17,112
1,PER18,116
1,PER19,122
1,PER20,114
1,PER21,119
1,PER22,122
1,PER23,131
1,PER24,124
1,PER25,122
1,PER26,115
1,PER27,119
1,PER28,107
1,PER29,116
1,PER30,113
1,PER31,113
1,PER32,129
1,PER33,142
1,PER34,123
1,PER35,109
1,PER36,93
1,PER37,65
1,PER38,36
1,PER39,21
1,PER40,16
1,PER41,16
1,PER42,9
1,PER43,7
1,PER44,4
1,PER45,4
1,PER46,4
1,PER47,2
1,PER48,0
2,PER01,0
2,PER02,1
2,PER03,2
2,PER04,4
2,PER05,5
2,PER06,17
2,PER07,46
2,PER08,53
2,PER09,89
2,PER10,137
2,PER11,166
2,PER12,160
2,PER13,164
2,PER14,166
2,PER15,189
2,PER16,201
2,PER17,208
2,PER18,202
2,PER19,209
2,PER20,212
2,PER21,201
2,PER22,198
2,PER23,204
2,PER24,231
2,PER25,229
2,PER26,229
2,PER27,227
2,PER28,194
2,PER29,198
2,PER30,172
2,PER31,162
2,PER32,186
2,PER33,181
2,PER34,173
2,PER35,165
2,PER36,133
2,PER37,104
2,PER38,57
2,PER39,47
2,PER40,32
2,PER41,19
2,PER42,13
2,PER43,7
2,PER44,8
2,PER45,5
2,PER46,0
2,PER47,0
2,PER48,1
3,PER01,2
3,PER02,8
3,PER03,24
3,PER04,36
3,PER05,66
3,PER06,94
3,PER07,171
3,PER08,391
3,PER09,814
3,PER10,1350
3,PER11,1566
3,PER12,1568
3,PER13,1660
3,PER14,1691
3,PER15,1798
3,PER16,1835
3,PER17,1871
3,PER18,1900
3,PER19,1880
3,PER20,1861
3,PER21,1845
3,PER22,1844
3,PER23,1842
3,PER24,1853
3,PER25,1721
3,PER26,1669
3,PER27,1471
3,PER28,1370
3,PER29,1274
3,PER30,1260
3,PER31,1185
3,PER32,1152
3,PER33,1095
3,PER34,982
3,PER35,872
3,PER36,686
3,PER37,497
3,PER38,372
3,PER39,294
3,PER40,160
3,PER41,115
3,PER42,81
3,PER43,60
3,PER44,49
3,PER45,36
3,PER46,30
3,PER47,24
3,PER48,15
4,PER01,0
4,PER02,0
4,PER03,0
4,PER04,4
4,PER05,15
4,PER06,28
4,PER07,42
4,PER08,69
4,PER09,101
4,PER10,154
4,PER11,177
4,PER12,179
4,PER13,190
4,PER14,188
4,PER15,196
4,PER16,210
4,PER17,208
4,PER18,218
4,PER19,223
4,PER20,222
4,PER21,219
4,PER22,214
4,PER23,207
4,PER24,206
4,PER25,192
4,PER26,194
4,PER27,211
4,PER28,193
4,PER29,185
4,PER30,178
4,PER31,198
4,PER32,226
4,PER33,200
4,PER34,179
4,PER35,137
4,PER36,124
4,PER37,104
4,PER38,88
4,PER39,58
4,PER40,37
4,PER41,31
4,PER42,26
4,PER43,15
4,PER44,8
4,PER45,7
4,PER46,1
4,PER47,1
4,PER48,0
5,PER01,3
5,PER02,3
5,PER03,3
5,PER04,10
5,PER05,27
5,PER06,36
5,PER07,61
5,PER08,86
5,PER09,128
5,PER10,177
5,PER11,203
5,PER12,208
5,PER13,207
5,PER14,218
5,PER15,223
5,PER16,232
5,PER17,237
5,PER18,253
5,PER19,265
5,PER20,281
5,PER21,284
5,PER22,283
5,PER23,293
5,PER24,291
5,PER25,269
5,PER26,262
5,PER27,264
5,PER28,261
5,PER29,267
5,PER30,265
5,PER31,296
5,PER32,305
5,PER33,291
5,PER34,263
5,PER35,250
5,PER36,202
5,PER37,158
5,PER38,101
5,PER39,75
