hour_bucket,auto,transit,nonmotorized,school_bus,total
1,24450,544,732,668,26394
2,62465,1130,1871,304,65770
3,217468,3341,6718,123,227650
4,678504,17102,25145,68858,789609
5,1622595,26025,76048,271373,1996041
6,1232539,18726,56531,100740,1408536
7,770915,10930,36838,9250,827933
8,757112,8923,39107,4304,809446
9,822562,8917,49263,4614,885356
10,895522,9691,60174,4914,970301
11,888314,10597,55753,8196,962860
12,1057592,11458,62292,87144,1218486
13,1287671,16331,70344,128634,1502980
14,1451046,20548,67526,133431,1672551
15,1523501,24989,60049,38729,1647268
16,1561317,21928,64508,32047,1679800
17,1225140,8260,49056,16409,1298865
18,863715,5834,35855,8341,913745
19,562555,3967,25124,4180,595826
20,302651,2840,14109,1833,321433
21,142350,1769,6753,927,151799
22,69282,848,3025,655,73810
23,39150,395,1785,1144,42474
24,29744,335,1512,2098,33689
