period,trips
1,11074
2,15320
3,23153
4,42617
5,84301
6,143349
7,258812
8,530797
9,928194
10,1067847
11,823139
12,585397
13,446233
14,381700
15,414162
16,395284
17,424228
18,461128
19,483659
20,486642
21,494150
22,468710
23,500930
24,717556
25,696578
26,806402
27,866369
28,806182
29,802565
30,844703
31,846878
32,832922
33,719653
34,579212
35,484500
36,429245
37,339370
38,256456
39,193665
40,127768
41,88737
42,63062
43,40227
44,33583
45,23691
46,18783
47,15822
48,17867
