"ORIG_FIPS","DEST_FIPS","ALLALL","WRKALL","NWKALL","ALLSOV","ALLHOV","ALLTRN","ALLWALK","ALLBIKE"
13121,13089,515964,195178,320786,234760,254897,21053,2674,2580
13089,13121,513609,193948,319661,233666,253680,21043,2640,2580
13121,13067,345666,130318,215348,157174,183691,4258,192,351
13067,13121,342294,128575,213719,155564,181910,4274,198,348
13089,13135,264601,79870,184731,109029,153948,795,421,408
13135,13089,260499,77718,182781,106790,152114,773,418,404
13135,13121,207829,80680,127149,94115,110646,2822,84,162
13121,13135,204333,79291,125042,92734,108492,2859,90,158
13121,13063,149746,64931,84815,66432,76200,6648,247,219
13063,13121,148371,64264,84107,65794,75459,6621,275,222
13067,13057,135353,39536,95817,56859,77973,173,144,204
13057,13067,133833,38527,95306,55935,77379,163,142,214
13121,13117,130858,42735,88123,53407,76640,404,255,152
13117,13121,130115,42383,87732,52961,76347,390,251,166
13067,13223,109692,29917,79775,39826,69659,9,98,100
13223,13067,108191,28922,79269,38974,69032,7,83,95
13063,13151,87864,22374,65490,32712,54719,111,196,126
13151,13063,87066,21397,65669,31969,54666,112,189,130
13117,13135,70210,21269,48941,27695,42479,0,0,36
13135,13117,70128,21186,48942,27835,42254,2,0,37
13067,13097,65344,16948,48396,23769,41080,67,312,116
13135,13139,65109,19728,45381,27224,37766,0,60,59
13139,13135,64724,19525,45199,27103,37504,1,58,58
13097,13067,64709,16711,47998,23645,40589,63,297,115
13067,13089,60809,28346,32463,30970,29173,661,0,5
13057,13121,60072,23790,36282,28464,31307,262,17,22
13121,13057,59459,23476,35983,28326,30820,272,23,18
13089,13067,59440,27967,31473,30515,28224,696,0,5
13135,13297,53459,13161,40298,19711,33617,1,57,73
13297,13135,52980,12809,40171,19297,33558,1,47,77
13089,13063,51750,21101,30649,22705,27538,1427,37,43
13063,13089,51738,21127,30611,22674,27529,1451,31,53
13063,13113,50478,11060,39418,17625,32679,35,36,103
13113,13063,49920,10809,39111,17388,32350,36,40,106
13135,13013,48579,15901,32678,20116,28382,5,23,53
13013,13135,47830,15485,32345,19612,28144,4,20,50
13121,13097,47792,18072,29720,21014,26157,598,1,22
13097,13121,47101,17768,29333,20688,25781,612,0,20
13247,13217,45883,9769,36114,15983,29631,3,153,113
13217,13247,45074,9284,35790,15483,29311,4,161,115
13089,13247,39383,10685,28698,14991,24275,71,8,38
13113,13077,38628,10389,28239,15368,23223,0,4,33
13247,13089,38363,10098,28265,14519,23733,66,7,38
13077,13113,38276,10175,28101,15083,23148,0,8,37
13113,13121,37989,11904,26085,15766,21981,200,22,20
13121,13113,37708,12009,25699,15893,21579,200,18,18
13089,13151,36932,12123,24809,15719,21064,119,9,21
13151,13089,36307,11880,24427,15492,20677,109,8,21
13067,13015,30458,11969,18489,15046,15341,16,23,32
13097,13223,30275,7375,22900,10327,19892,22,4,30
13015,13067,30132,11822,18310,14855,15207,12,25,33
13223,13097,29758,7139,22619,10118,19580,26,5,29
13151,13121,26445,15389,11056,14717,10988,740,0,0
13121,13151,25494,14918,10576,14305,10455,734,0,0
13135,13067,24410,14215,10195,14876,9450,84,0,0
13067,13135,24268,14097,10171,14757,9425,86,0,0
13097,13045,23221,6087,17134,9021,14119,8,53,20
13121,13077,23056,10459,12597,11700,11097,247,6,6
13045,13097,22974,5942,17032,8801,14088,7,55,23
13077,13121,22933,10336,12597,11695,10984,243,3,8
13057,13117,21289,6298,14991,8986,12286,0,1,16
13117,13057,20971,6161,14810,8939,12013,0,3,16
13139,13117,19366,7742,11624,9396,9967,1,0,2
13117,13139,19323,7753,11570,9389,9931,1,0,2
13151,13255,19136,6370,12766,8365,10762,0,1,8
13255,13151,19016,6230,12786,8303,10703,0,1,9
13117,13085,18074,4491,13583,7096,10951,0,7,20
13085,13117,17818,4385,13433,6979,10810,0,8,21
13223,13121,16107,9603,6504,9000,6915,192,0,0
13135,13247,16006,5992,10014,7144,8855,1,0,6
13247,13135,15965,5923,10042,7150,8808,1,0,6
13247,13151,15016,4376,10640,5896,9107,0,6,7
13151,13247,14936,4506,10430,5939,8984,0,5,8
13121,13223,14805,8860,5945,8411,6200,194,0,0
