"FIPS","trips_produced","work_trips","nonwork_trips","sov","hov","transit","walk","bike","trips_attracted","balance"
13013,277431,53724,223707,95111,172059,44,9167,1050,277403,28
13015,356951,91686,265265,140677,205207,70,9495,1502,356938,13
13045,421916,100404,321512,159080,243479,4188,12584,2585,421995,-79
13057,879840,190647,689193,327659,529868,601,18866,2846,879687,153
13063,1185462,290237,895225,417694,713010,10797,39080,4881,1185546,-84
13067,3542858,876556,2666302,1334101,2084885,15715,92447,15710,3542813,45
13077,488427,109666,378761,184203,290311,356,11761,1796,488517,-90
13085,83165,20767,62398,33541,47095,2,2165,362,83154,11
13089,3279893,830260,2449633,1239142,1878670,42809,102099,17173,3280098,-205
13097,590836,115692,475144,192980,381045,1085,13697,2029,590821,15
13113,506723,109363,397360,184050,310671,256,10266,1480,506687,36
13117,927005,211187,715818,332044,574027,494,17912,2528,927019,-14
13121,5164598,1724802,3439796,2166778,2589698,149950,222732,35440,5164894,-296
13135,4086612,883287,3203325,1414931,2546152,6140,103359,16030,4086577,35
13139,770142,188270,581872,283317,462985,825,20128,2887,770180,-38
13151,835186,172515,662671,289718,522088,986,19623,2771,835124,62
13217,350520,74287,276233,125444,213810,279,9585,1402,350467,53
13223,544916,108461,436455,176378,355430,257,11334,1517,544769,147
13247,381358,83737,297621,135021,234982,472,9600,1283,381294,64
13255,241855,56207,185648,91312,141089,75,8303,1076,241831,24
13297,305364,63892,241472,109167,186603,27,8424,1143,305244,120
