period,trips
1,8266
2,12175
3,18966
4,34118
5,66068
6,120256
7,211032
8,413494
9,712104
10,830072
11,675606
12,497993
13,387337
14,327464
15,350057
16,333427
17,356377
18,389006
19,409308
20,411357
21,420231
22,401232
23,427409
24,563254
25,559114
26,635996
27,675971
28,643165
29,652842
30,680580
31,661268
32,613685
33,520520
34,411111
35,337549
36,291053
37,231413
38,176243
39,135936
40,92849
41,66161
42,48070
43,30310
44,25031
45,17580
46,13684
47,12115
48,13599
