AXIS,QUANTITY,CHART
Accessible Employment,149999148,AIRPORT
Jobs Housing Balance,0.051199580932425354,AIRPORT
Transit Mode Share,0.08310944983062726,AIRPORT
Zero Car Transit Trips Per HH,0.4321669736034377,AIRPORT
Accessible Employment,90607913,BUCKHEAD
Jobs Housing Balance,0.32996382208980635,BUCKHEAD
Transit Mode Share,0.04538119507296516,BUCKHEAD
Zero Car Transit Trips Per HH,0.13959654591708767,BUCKHEAD
Accessible Employment,50058029,CUMBERLAND
Jobs Housing Balance,0.2246554421056521,CUMBERLAND
Transit Mode Share,0.01033589485030773,CUMBERLAND
Zero Car Transit Trips Per HH,0.034978070175438594,CUMBERLAND
Accessible Employment,40371866,DOWNTOWN
Jobs Housing Balance,0.061635507385027495,DOWNTOWN
Transit Mode Share,0.14725368668518915,DOWNTOWN
Zero Car Transit Trips Per HH,1.6038453835369517,DOWNTOWN
Accessible Employment,435753139,EMORY
Jobs Housing Balance,0.16128466812090994,EMORY
Transit Mode Share,0.06377344942105735,EMORY
Zero Car Transit Trips Per HH,0.3611882622871634,EMORY
Accessible Employment,7951891,FULTON INDUSTRIAL
Jobs Housing Balance,0.5373812271354563,FULTON INDUSTRIAL
Transit Mode Share,0.04077319587628866,FULTON INDUSTRIAL
Zero Car Transit Trips Per HH,0.06766573765248778,FULTON INDUSTRIAL
Accessible Employment,41788986,GWINNETT PLACE
Jobs Housing Balance,0.3240244930338638,GWINNETT PLACE
Transit Mode Share,0.005156581322398051,GWINNETT PLACE
Zero Car Transit Trips Per HH,0.010443364829195516,GWINNETT PLACE
Accessible Employment,30442750,MIDTOWN
Jobs Housing Balance,0.26829150287269427,MIDTOWN
Transit Mode Share,0.0841081571763261,MIDTOWN
Zero Car Transit Trips Per HH,0.32419638429286324,MIDTOWN
Accessible Employment,58285449,NORCROSS
Jobs Housing Balance,0.3158507141402682,NORCROSS
Transit Mode Share,0.006679074768108813,NORCROSS
Zero Car Transit Trips Per HH,0.013170012893718917,NORCROSS
Accessible Employment,33423007,NORTH POINT
Jobs Housing Balance,0.2510735394317768,NORTH POINT
Transit Mode Share,0.006020613905221155,NORTH POINT
Zero Car Transit Trips Per HH,0.019059640265067845,NORTH POINT
Accessible Employment,79897289,PERIMETER
Jobs Housing Balance,0.18880693086531436,PERIMETER
Transit Mode Share,0.017160496687207524,PERIMETER
Zero Car Transit Trips Per HH,0.11204275315580946,PERIMETER
Accessible Employment,10385779,SOUTHLAKE
Jobs Housing Balance,1.0348147472166453,SOUTHLAKE
Transit Mode Share,0.0067753482337141735,SOUTHLAKE
Zero Car Transit Trips Per HH,0.00811323250584241,SOUTHLAKE
Accessible Employment,90210326,TOWN CENTER
Jobs Housing Balance,0.3069208405689645,TOWN CENTER
Transit Mode Share,0.03465081977726,TOWN CENTER
Zero Car Transit Trips Per HH,0.08836617927527018,TOWN CENTER
