TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,9308776
AUTO,DRIVEALONE,DRIVEALONEPAY,123572
AUTO,SHARED2,SHARED2FREE,4866207
AUTO,SHARED2,SHARED2PAY,7936
AUTO,SHARED3,SHARED3FREE,3586678
AUTO,SHARED3,SHARED3PAY,5177
NONMOTORIZED,NONMOTORIZED,BIKE,117491
NONMOTORIZED,NONMOTORIZED,WALK,752627
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,928916
TRANSIT,KNR,KNR_ALLTRN,11518
TRANSIT,KNR,KNR_PRMTRN,10804
TRANSIT,PNR,PNR_ALLTRN,5012
TRANSIT,PNR,PNR_PRMTRN,32060
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,146204
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,29830
