period,trips
1,10320
2,15392
3,23462
4,41596
5,76758
6,140654
7,242479
8,436164
9,755572
10,860705
11,737550
12,544384
13,469964
14,401744
15,424722
16,410852
17,460812
18,583356
19,633425
20,659475
21,625188
22,556518
23,559721
24,654604
25,636695
26,695811
27,724321
28,705094
29,724742
30,745291
31,711646
32,615712
33,531539
34,436084
35,373123
36,303479
37,229951
38,178283
39,140821
40,97464
41,68872
42,53269
43,34274
44,27856
45,19808
46,15107
47,13391
48,14332
