hour_bucket,auto,transit,nonmotorized,school_bus,total
1,30415,962,928,708,33013
2,75628,1939,2241,314,80122
3,248041,5254,7075,116,260486
4,733034,23189,27001,62879,846103
5,1696941,31879,84046,272647,2085513
6,1344921,23168,64652,89466,1522207
7,934777,13810,46660,13362,1008609
8,913395,10226,50233,5790,979644
9,1126675,11120,82157,4641,1224593
10,1378653,12793,118382,4866,1514694
11,1260593,13010,96595,8291,1378489
12,1289635,13747,84402,80555,1468339
13,1428838,19627,83241,118013,1649719
14,1558115,24470,75272,125973,1783830
15,1652662,32398,67879,40752,1793691
16,1578120,28050,65768,34240,1706178
17,1228700,9754,49397,20117,1307968
18,896360,6654,37505,10200,950719
19,541210,4370,22523,4591,572694
20,307321,3200,13059,1876,325456
21,150758,2115,6538,976,160387
22,77853,1039,3292,641,82825
23,43960,425,1851,1088,47324
24,32534,363,1427,1663,35987
