TRIPS BY MODE,NEST MODE,SIMPLE MODE,QUANTITY
AUTO,DRIVEALONE,DRIVEALONEFREE,11180006
AUTO,DRIVEALONE,DRIVEALONEPAY,155394
AUTO,SHARED2,SHARED2FREE,5274450
AUTO,SHARED2,SHARED2PAY,11297
AUTO,SHARED3,SHARED3FREE,3670900
AUTO,SHARED3,SHARED3PAY,6951
NONMOTORIZED,NONMOTORIZED,BIKE,117026
NONMOTORIZED,NONMOTORIZED,WALK,975098
SCHOOL_BUS,SCHOOL_BUS,SCHOOL_BUS,903765
TRANSIT,KNR,KNR_ALLTRN,13057
TRANSIT,KNR,KNR_PRMTRN,13906
TRANSIT,PNR,PNR_ALLTRN,6870
TRANSIT,PNR,PNR_PRMTRN,41404
TRANSIT,WALK_TRANSIT,WALK_ALLTRN,165055
TRANSIT,WALK_TRANSIT,WALK_PRMTRN,53270
