period,trips
1,13735
2,19278
3,28279
4,51843
5,95019
6,165467
7,295666
8,550437
9,981400
10,1104113
11,895051
12,627156
13,542632
14,465977
15,498227
16,481417
17,541726
18,682867
19,742090
20,772604
21,730149
22,648340
23,653428
24,814911
25,780609
26,869110
27,910607
28,873223
29,879209
30,914482
31,897898
32,808280
33,712088
34,595880
35,519727
36,430992
37,323195
38,249499
39,193776
40,131680
41,91060
42,69327
43,45823
44,37002
45,26660
46,20664
47,17347
48,18640
