ORIG,DEST,WRKSOV,WRKHOV,WRKTRN,NWKSOV,NWKHOV,NWKTRN,ALLSOV,ALLHOV,ALLTRN,WRKALL,NWKALL,ALLALL
1,1,108167,24422,128,93907,172421,83,202074,196843,211,132717,266411,399128
1,2,19475,4551,42,17250,31324,24,36725,35875,66,24068,48598,72666
1,3,6140,1234,112,2354,3780,41,8494,5014,153,7486,6175,13661
1,4,2175,368,131,402,716,19,2577,1084,150,2674,1137,3811
1,5,462,102,93,60,83,2,522,185,95,657,145,802
1,6,1245,255,176,254,362,28,1499,617,204,1676,644,2320
1,7,306,76,78,63,74,13,369,150,91,460,150,610
1,8,650,177,258,146,209,46,796,386,304,1085,401,1486
1,9,333,94,135,57,100,6,390,194,141,562,163,725
1,10,101,27,5,20,23,0,121,50,5,133,43,176
1,11,215,53,59,22,49,2,237,102,61,327,73,400
1,12,87,17,6,14,38,0,101,55,6,110,52,162
1,15,514,93,0,129,175,0,643,268,0,607,304,911
1,16,448,81,0,132,201,0,580,282,0,529,333,862
1,17,6816,1434,0,3446,5873,2,10262,7307,2,8250,9321,17571
1,18,3671,712,2,1859,3116,3,5530,3828,5,4385,4978,9363
1,21,67,26,16,3,16,1,70,42,17,109,20,129
1,22,147,38,20,25,29,4,172,67,24,205,58,263
1,23,93,33,17,16,31,1,109,64,18,143,48,191
1,24,68,30,5,13,24,0,81,54,5,103,37,140
1,31,1760,360,0,465,641,1,2225,1001,1,2120,1107,3227
1,32,5329,1086,4,3248,5881,0,8577,6967,4,6419,9129,15548
1,33,296,54,2,58,67,0,354,121,2,352,125,477
1,34,857,189,4,239,375,1,1096,564,5,1050,615,1665
1,35,1900,322,4,361,506,3,2261,828,7,2226,870,3096
1,36,470,99,6,84,124,1,554,223,7,575,209,784
1,41,4096,784,70,1440,2508,7,5536,3292,77,4950,3955,8905
1,43,961,189,11,267,410,7,1228,599,18,1161,684,1845
1,44,1320,279,32,364,652,5,1684,931,37,1631,1021,2652
1,45,138,25,17,16,25,0,154,50,17,180,41,221
1,46,125,35,11,28,63,3,153,98,14,171,94,265
1,47,316,67,30,61,103,0,377,170,30,413,164,577
1,48,335,60,10,62,109,0,397,169,10,405,171,576
1,49,267,46,6,40,104,0,307,150,6,319,144,463
1,51,52,12,1,15,22,0,67,34,1,65,37,102
1,52,125,32,5,26,36,0,151,68,5,162,62,224
1,61,23,2,0,2,17,1,25,19,1,25,20,45
1,62,27,12,0,12,15,0,39,27,0,39,27,66
1,71,5806,1265,0,2417,5088,0,8223,6353,0,7071,7505,14576
1,72,10318,2349,19,6931,13493,6,17249,15842,25,12686,20430,33116
1,73,845,168,0,155,253,1,1000,421,1,1013,409,1422
1,74,7254,1583,15,4047,7899,2,11301,9482,17,8852,11948,20800
1,75,908,214,1,316,635,0,1224,849,1,1123,951,2074
1,76,812,172,2,211,303,0,1023,475,2,986,514,1500
1,81,102,18,3,16,16,0,118,34,3,123,32,155
1,82,26,5,0,13,23,1,39,28,1,31,37,68
1,83,51,7,0,12,10,0,63,17,0,58,22,80
1,91,50,8,2,9,9,0,59,17,2,60,18,78
1,92,111,21,1,25,19,0,136,40,1,133,44,177
1,101,439,86,0,45,81,0,484,167,0,525,126,651
1,102,301,44,0,29,60,0,330,104,0,345,89,434
1,111,47,12,0,4,20,0,51,32,0,59,24,83
1,112,73,14,0,17,22,0,90,36,0,87,39,126
1,113,86,20,0,13,28,0,99,48,0,106,41,147
1,114,289,66,0,49,95,0,338,161,0,355,144,499
1,121,18,4,1,6,10,0,24,14,1,23,16,39
1,122,1,0,0,1,0,0,2,0,0,1,1,2
1,123,4,2,0,2,2,0,6,4,0,6,4,10
1,124,1,0,0,0,1,0,1,1,0,1,1,2
1,131,3,1,0,0,0,0,3,1,0,4,0,4
1,132,21,3,0,1,3,0,22,6,0,24,4,28
1,134,3,1,0,0,0,0,3,1,0,4,0,4
1,141,3483,685,0,638,777,0,4121,1462,0,4168,1415,5583
1,142,11696,2368,4,4754,8407,2,16450,10775,6,14068,13163,27231
1,143,17780,4219,2,13486,26387,10,31266,30606,12,22001,39883,61884
1,151,305,67,0,56,65,0,361,132,0,372,121,493
1,152,787,167,0,87,163,0,874,330,0,954,250,1204
1,153,848,181,0,185,288,0,1033,469,0,1029,473,1502
1,163,63,10,0,12,17,0,75,27,0,73,29,102
1,164,3,4,0,2,1,0,5,5,0,7,3,10
1,171,203,42,0,24,50,0,227,92,0,245,74,319
1,172,34,8,0,7,10,0,41,18,0,42,17,59
1,173,300,75,0,33,75,0,333,150,0,375,108,483
1,181,2,1,0,2,1,0,4,2,0,3,3,6
1,182,2,2,0,0,1,0,2,3,0,4,1,5
1,191,262,62,1,40,59,0,302,121,1,325,99,424
1,192,155,42,0,20,29,0,175,71,0,197,49,246
1,201,975,182,0,245,298,0,1220,480,0,1157,543,1700
2,1,19644,4638,43,17448,31291,13,37092,35929,56,24325,48752,73077
2,2,33772,7419,57,44227,72383,65,77999,79802,122,41248,116675,157923
2,3,6726,1542,70,5266,7971,35,11992,9513,105,8338,13272,21610
2,4,1634,289,92,495,839,21,2129,1128,113,2015,1355,3370
2,5,293,65,44,48,80,1,341,145,45,402,129,531
2,6,898,167,97,267,309,26,1165,476,123,1162,602,1764
2,7,208,43,48,50,52,13,258,95,61,299,115,414
2,8,548,112,248,116,198,61,664,310,309,908,375,1283
2,9,173,52,66,49,55,12,222,107,78,291,116,407
2,10,68,11,2,13,39,0,81,50,2,81,52,133
2,11,161,48,18,25,45,0,186,93,18,227,70,297
2,12,61,19,5,10,28,1,71,47,6,85,39,124
2,15,198,51,0,65,91,0,263,142,0,249,156,405
2,16,136,24,0,36,59,0,172,83,0,160,95,255
